Bronze Smoke,1978,Lithograph,"irreg composition  25 1/8 x 18 13/16"" (63.8 x 47.8 cm) sheet  31 1/4 x 22 5/8"" (79.4 x 57.5 cm)",Gift of Celeste Bartos,Print,Prints & Illustrated Books,1/23/1979,Y,60002
Sailboat,c. 1915-20,Linoleum cut,"composition: 7 1/16 x 6 1/2"" (18 x 16.5 cm); sheet: 10 1/4 x 9 7/8"" (26 x 25.1 cm)",Acquired through the Lillie P. Bliss Bequest,Print,Prints & Illustrated Books,1/15/1981,Y,60003
Classic Figure No. 2,(c. 1966),Aquatint,"Plate: 17 5/8 x 14 11/16"" (44.8 x 37.3 cm); sheet: 22 5/16 x 17 11/16"" (56.6 x 44.9 cm)",Joanne M. Stern Fund,Print,Prints & Illustrated Books,1/30/1985,Y,60004
River of History,1984,Aquatint with watercolor additions,,Gift of the artist,Print,Prints & Illustrated Books,1/9/1986,N,60005
"Untitled, fourth state",-1966,Lithograph,"composition (irreg.): 13 1/8 x 9 7/16"" (33.4 x 23.9 cm); sheet (slightly irreg.): 24 x 17 1/16"" (61 x 43.3 cm)",Gift of Walter Bareiss,Print,Prints & Illustrated Books,1/15/1987,Y,60006
Aquatique II,1981,Etching and aquatint,"composition  3 9/16 x 3 5/16"" (9 x 8.5 cm) sheet  13 1/8 x 10 1/8"" (33 x 25.7 cm)",Blanchette Hooker Rockefeller Fund,Print,Prints & Illustrated Books,1/19/1988,Y,60007
Untitled from Continuities,1988,One from a portfolio of five etchings,"plate: 9 1/4 x 5 1/16"" (23.5 x 12.8 cm); sheet: 20 1/2 x 14 13/16"" (52 x 37.7 cm)",Riva Castleman Fund,Print,Prints & Illustrated Books,1/18/1989,Y,60008
Continuities,1988,Portfolio of five etchings,"each sheet approx.: 20 11/16 x 14 13/16"" (52 x 37.7 cm)",Riva Castleman Fund,Print,Prints & Illustrated Books,1/18/1989,Y,60009
Untitled from Continuities,1988,One from a portfolio of five etchings,"plate: 9 5/16 x 6 1/4"" (23.6 x 15.9 cm); sheet: 20 1/2 x 14 3/4"" (52 x 37.5 cm)",Riva Castleman Fund,Print,Prints & Illustrated Books,1/18/1989,Y,60010
Untitled from Continuities,1988,One from a portfolio of five etchings,"plate: 8 9/16 x 6 9/16"" (21.8 x 16.6 cm); sheet: 20 1/2 x 14 3/4"" (52 x 37.5 cm)",Riva Castleman Fund,Print,Prints & Illustrated Books,1/18/1989,Y,60011
Untitled from Continuities,1988,One from a portfolio of five etchings,"plate: 8 9/16 x 6 7/16"" (21.7 x 16.3 cm); sheet: 20 1/2 x 14 3/4"" (52 x 37.5 cm)",Riva Castleman Fund,Print,Prints & Illustrated Books,1/18/1989,Y,60012
Untitled from Continuities,1988,One from a portfolio of five etchings,"plate: 10 5/16 x 4 5/16"" (26.2 x 11 cm); sheet: 20 1/2 x 14 7/8"" (52 x 37.8 cm)",Riva Castleman Fund,Print,Prints & Illustrated Books,1/18/1989,Y,60013
Monika,(1966-89),Woodcut,"composition  18 5/16 x 13 3/4"" (46.5 x 35 cm) sheet  26 3/16 x 20 1/4"" (66 x 51.5 cm)",Johanna and Leslie J. Garfield Fund,Print,Prints & Illustrated Books,1/16/1990,Y,60014
Soviet/American Array V,1988-90,Photogravure,,Gift of Emily Fisher Landau,Print,Prints & Illustrated Books,1/23/1991,Y,60015
Jewish Jackie,1992,Xerox,"composition  16 x 20 9/16"" (40.7 x 52.3 cm)",Purchase,Print,Prints & Illustrated Books,1/18/1993,Y,60016
SPUYTEN DUYVIL # 1,,Lithograph,,Gift of Samuel Chotzinoff,Print,Prints & Illustrated Books,4/18/1935,N,60018
Desert I,1961,"Etching, aquatint, and engraving","plate: 19 13/16 x 23 15/16"" (50.3 x 60.8cm); sheet: 21 13/16 x 26 1/16"" (55.4 x 66.2cm)",Gift of the artist,Print,Prints & Illustrated Books,1/7/1964,Y,60019
Germination No. 5,1965,Woodcut,"composition: 25 1/2 x 17 13/16"" (64.8 x 45.3cm); sheet: 29 1/16 x 19 9/16"" (73.8 x 49.7cm)",Gift of the International Graphic Art Society,Print,Prints & Illustrated Books,1/11/1966,Y,60020
Disappearing (Screened),-1972,Lithograph,"composition: 17 5/16 x 23 7/8"" (44 x 60.6 cm); sheet: 17 5/16 x 23 7/8"" (44 x 60.6 cm)",Gift of Janet K. Ruttenberg,Print,Prints & Illustrated Books,1/4/1973,Y,60021
Portrait of Henry McBride,1917,Woodcut,,Gift of Perls Galleries in memory of Robert Laurent,Print,Prints & Illustrated Books,1/7/1975,Y,60022
Altitudes,1978,Lithograph,"irreg composition  22 1/8 x 22 9/16"" (56.2 x 57.3 cm) irreg sheet  22 1/2 x 30 5/8"" (57.2 x 77.8 cm)",Gift of Celeste Bartos,Print,Prints & Illustrated Books,1/23/1979,Y,60023
Marine,c. 1916,Linoleum cut,"composition: 6 3/16 x 7 5/8"" (15.7 x 19.4 cm); sheet: 8 1/4 x 11"" (21 x 28 cm)",Acquired through the Lillie P. Bliss Bequest,Print,Prints & Illustrated Books,1/15/1981,Y,60024
"Felled Tree from the series Seven Woodcuts, Linocuts, Etchings",1984,"Woodcut, etching and aquatint","irreg. composition  26 1/8 x 33 13/16"" (66.3 x 85.9 cm)",Walter Bareiss Fund,Print,Prints & Illustrated Books,1/30/1985,Y,60025
Untitled,1985,Collagraph,"irreg. composition  6 1/4 x 4 3/4"" (15.8 x 12.1 cm) sheet  16 15/16 x 13 3/4"" (43 x 34.9 cm)",Gift of Emily Fisher Landau,Print,Prints & Illustrated Books,1/9/1986,N,60026
"Untitled, third state",-1967,Drypoint and etching,"plate: 9 13/16 x 7 1/2"" (25 x 19 cm); sheet: 14 9/16 x 10 9/16"" (37 x 26.9 cm)",Gift of Walter Bareiss,Print,Prints & Illustrated Books,1/15/1987,Y,60027
Aquatique IV,1982,Etching and aquatint,"plate  3 3/8 x 3 3/8"" (8.6 x 8.6 cm) sheet  12 15/16 x 10 1/16"" (32 x 25.6 cm)",Blanchette Hooker Rockefeller Fund,Print,Prints & Illustrated Books,1/19/1988,Y,60028
Nubia,1987,Woodcut,"composition  25 3/4 x 29 1/16"" (65.4 x 73.9 cm) sheet  25 3/4 x 29 1/16"" (65 x 73.9 cm)","Gift of the friends of Max Ross, in memory of Adam Joseph Ross",Print,Prints & Illustrated Books,1/18/1989,Y,60029
Proclamation (Was sich ankuendigt),-1989,Aquatint and drypoint,"plate  31 5/16 x 31 1/8"" (79.5 x 79.1 cm) sheet  46 7/8 x 38 15/16"" (119 x 99 cm)","Miles O. Epstein, Richard A. Epstein and Sarah C. Epstein Funds",Print,Prints & Illustrated Books,1/16/1990,Y,60030
Candle I (Kerze I),1989,Photolithograph with paint additions,"composition  34 3/4 x 34 7/8"" (88.3 x 88.6 cm)",Purchase,Print,Prints & Illustrated Books,1/23/1991,N,60031
Brisk Day (Woodblock),1990,Woodcut,"composition and sheet: 35 13/16 x 29 1/8"" (91 x 73.9cm)",Gift of Eunice and Joseph Fearer in memory of Tatyana Grosman on the occasion of the 35th anniversary of ULAE,Print,Prints & Illustrated Books,1/18/1993,Y,60032
ANN'S BOUQUET,,Lithograph,,Gift of Samuel Chotzinoff,Print,Prints & Illustrated Books,4/18/1935,N,60034
Scribes (Schriftgelehrte),"(1911, printed c. 1919)",Etching and tonal etching,"plate  10 1/2 x 11 3/4"" (26.7 x 29.8 cm); sheet  22 11/16 x 17 11/16"" (57 x 45 cm)",Purchase,Print,Prints & Illustrated Books,3/13/1947,Y,60035
Untitled from VVV Portfolio,1942,Etching,"plate: 7 15/16 x 9 13/16"" (20.2 x 25 cm); sheet: 11 7/8 x 14"" (30.1 x 35.5 cm)",Gift of Bernard J. Reis,Print,Prints & Illustrated Books,3/17/1948,Y,60036
THE BIG WINTER,1959,"Etching and engraving, printed in color","Plate 21 3/4 x 31 1/2"" (55.2 x 80.0 cm) Sheet  24 3/8 x 33 7/8"" (61.9 x 86.0 cm)",Gift of the artist,Print,Prints & Illustrated Books,1/7/1964,N,60037
An Old Wound is Healed from Empty Canoes,-1971,Lithograph,"composition  21 5/16 x 27 15/16"" (54.1 x 71 cm) sheet  22 5/16 x 30"" (56.7 x 76.2 cm)",John B. Turner Fund,Print,Prints & Illustrated Books,2/7/1972,Y,60039
Two Flags,1970-72,Lithograph,"composition (irreg.): 24 15/16 x 20 1/4"" (63.3 x 51.4 cm); sheet: 31 7/16 x 23 1/4"" (79.9 x 59.1 cm)",Gift of Celeste Bartos,Print,Prints & Illustrated Books,1/4/1973,Y,60040
Tom Mix II,"(1928, published 1929)",Etching,"plate: 5 1/2 x 7 1/4"" (13.9 x 18.4 cm); sheet: 12 5/16 x 16 3/4"" (31.3 x 42.6 cm)",Blanchette Hooker Rockefeller Fund,Print,Prints & Illustrated Books,1/23/1979,Y,60042
Masts and Houses (Provincetown),c. 1916,Linoleum cut,"composition: 10 7/8 x 7 5/16"" (27.6 x 18.6 cm); sheet: 15 3/4 x 11 1/16"" (40 x 28.1 cm)",Carol O. Selle Fund,Print,Prints & Illustrated Books,1/15/1981,Y,60043
Woman Holding Flower at Table,(c. 1920),Woodcut,"irreg. composition  4 5/8 x 2 3/4"" (11.8 x 7 cm) sheet  9 1/16 x 5 13/16"" (23 x 14.8 cm)",Gift of Mr. and Mrs. Samuel Rosenfeld (through the Associates of the Department of Prints and Illustrated Books) by exchange,Print,Prints & Illustrated Books,1/30/1985,Y,60044
Heart from Possession is Nine-Tenths of the Law,1985,One from a portfolio of nine screenprints and monotypes with ink additions,"composition (irreg.): 10 11/16 x 8 3/8"" (27.1 x 21.2cm); sheet (irreg.): 21 5/8 x 16 15/16"" (55 x 43.1cm)",Richard A. Epstein Fund,Print,Prints & Illustrated Books,1/9/1986,Y,60045
Possession is Nine-Tenths of the Law,1985,Portfolio of nine screenprints and monotypes with ink additions,"composition: various dimensions;  sheet (each): 21 15/16 x 16 15/16"" (55 x 43.1 cm) ",Richard A. Epstein Fund,Print,Prints & Illustrated Books,1/9/1986,Y,60046
Kidneys from Possession is Nine-Tenths of the Law,1985,One from a portfolio of nine screenprints and monotypes with ink additions,"irreg. composition  6 1/2 x 9 15/16"" (16.6 x 25.3 cm) sheet  22 x 16 15/16"" (55 x 43 cm)",Richard A. Epstein Fund,Print,Prints & Illustrated Books,1/9/1986,N,60047
Brain from Possession is Nine-Tenths of the Law,1985,One from a portfolio of nine screenprints and monotypes with ink additions,"composition (irreg.): 9 5/8 x 11 5/16"" (24.5 x 28.8cm); sheet: 21 5/8 x 16 3/4"" (55 x 42.6cm)",Richard A. Epstein Fund,Print,Prints & Illustrated Books,1/9/1986,Y,60048
Bladder from Possession is Nine-Tenths of the Law,1985,One from a portfolio of nine screenprints and monotypes with ink additions,"irreg. composition  5 x 7 5/16"" (12.8 x 18.6 cm) sheet  21 15/16 x 16 3/4"" (55 x 42.6 cm)",Richard A. Epstein Fund,Print,Prints & Illustrated Books,1/9/1986,N,60049
Stomach from Possession is Nine-Tenths of the Law,1985,One from a portfolio of nine screenprints and monotypes with ink additions,"irreg. composition  14 1/4 x 15 1/8"" (36.2 x 38.4 cm) sheet  21 15/16 x 17"" (55 x 43.2 cm)",Richard A. Epstein Fund,Print,Prints & Illustrated Books,1/9/1986,N,60050
