Artist,ArtistBio,ObjectID
Otto Wagner,(Austrian | 1841–1918),2
Christian de Portzamparc,(French | born 1944),3
Emil Hoppe,(Austrian | 1876–1957),4
Bernard Tschumi,(French and Swiss | born Switzerland 1944),5
Emil Hoppe,(Austrian | 1876–1957),6
Bernard Tschumi,(French and Swiss | born Switzerland 1944),7
Bernard Tschumi,(French and Swiss | born Switzerland 1944),8
Bernard Tschumi,(French and Swiss | born Switzerland 1944),9
Bernard Tschumi,(French and Swiss | born Switzerland 1944),10
Bernard Tschumi,(French and Swiss | born Switzerland 1944),11
Bernard Tschumi,(French and Swiss | born Switzerland 1944),12
Bernard Tschumi,(French and Swiss | born Switzerland 1944),13
Bernard Tschumi,(French and Swiss | born Switzerland 1944),14
Bernard Tschumi,(French and Swiss | born Switzerland 1944),15
Bernard Tschumi,(French and Swiss | born Switzerland 1944),16
Bernard Tschumi,(French and Swiss | born Switzerland 1944),17
Bernard Tschumi,(French and Swiss | born Switzerland 1944),18
Bernard Tschumi,(French and Swiss | born Switzerland 1944),19
Bernard Tschumi,(French and Swiss | born Switzerland 1944),20
Bernard Tschumi,(French and Swiss | born Switzerland 1944),21
Bernard Tschumi,(French and Swiss | born Switzerland 1944),22
Bernard Tschumi,(French and Swiss | born Switzerland 1944),23
Bernard Tschumi,(French and Swiss | born Switzerland 1944),24
Bernard Tschumi,(French and Swiss | born Switzerland 1944),25
Bernard Tschumi,(French and Swiss | born Switzerland 1944),26
Bernard Tschumi,(French and Swiss | born Switzerland 1944),27
Bernard Tschumi,(French and Swiss | born Switzerland 1944),28
Bernard Tschumi,(French and Swiss | born Switzerland 1944),29
Bernard Tschumi,(French and Swiss | born Switzerland 1944),30
Bernard Tschumi,(French and Swiss | born Switzerland 1944),31
Louis I. Kahn,(American | born Estonia. 1901–1974),32
Bernard Tschumi,(French and Swiss | born Switzerland 1944),33
Marcel Kammerer,(Austrian | 1878–1969),34
Bernard Tschumi,(French and Swiss | born Switzerland 1944),35
Otto Schönthal,(Austrian | 1878–1961),36
Bernard Tschumi,(French and Swiss | born Switzerland 1944),38
Otto Schönthal,(Austrian | 1878–1961),39
Bernard Tschumi,(French and Swiss | born Switzerland 1944),41
Bernard Tschumi,(French and Swiss | born Switzerland 1944),42
Bernard Tschumi,(French and Swiss | born Switzerland 1944),43
Bernard Tschumi,(French and Swiss | born Switzerland 1944),44
Bernard Tschumi,(French and Swiss | born Switzerland 1944),45
Bernard Tschumi,(French and Swiss | born Switzerland 1944),46
Bernard Tschumi,(French and Swiss | born Switzerland 1944),47
Bernard Tschumi,(French and Swiss | born Switzerland 1944),48
Bernard Tschumi,(French and Swiss | born Switzerland 1944),49
Bernard Tschumi,(French and Swiss | born Switzerland 1944),50
Bernard Tschumi,(French and Swiss | born Switzerland 1944),52
Bernard Tschumi,(French and Swiss | born Switzerland 1944),54
Bernard Tschumi,(French and Swiss | born Switzerland 1944),55
Bernard Tschumi,(French and Swiss | born Switzerland 1944),56
Bernard Tschumi,(French and Swiss | born Switzerland 1944),57
Bernard Tschumi,(French and Swiss | born Switzerland 1944),58
Bernard Tschumi,(French and Swiss | born Switzerland 1944),59
Bernard Tschumi,(French and Swiss | born Switzerland 1944),60
Bernard Tschumi,(French and Swiss | born Switzerland 1944),61
Bernard Tschumi,(French and Swiss | born Switzerland 1944),62
Bernard Tschumi,(French and Swiss | born Switzerland 1944),63
Bernard Tschumi,(French and Swiss | born Switzerland 1944),64
Bernard Tschumi,(French and Swiss | born Switzerland 1944),65
Bernard Tschumi,(French and Swiss | born Switzerland 1944),66
Bernard Tschumi,(French and Swiss | born Switzerland 1944),67
Bernard Tschumi,(French and Swiss | born Switzerland 1944),68
Hans Poelzig,(German | 1869–1936),76
Raimund Abraham,(American | born Austria. 1933–2010),79
Peter Eisenman | Robert Cole,(American | born 1932),81
Rem Koolhaas | Madelon Vriesendorp,(Dutch | born 1944) (Dutch | born 1945),82
Roger C. Ferri,(American | 1949–1991),84
Bernard Tschumi,(French and Swiss | born Switzerland 1944),85
Roger C. Ferri,(American | 1949–1991),87
Bernard Tschumi,(French and Swiss | born Switzerland 1944),88
Roger C. Ferri,(American | 1949–1991),90
Michael Graves,(American | 1934–2015),92
Michael Graves,(American | 1934–2015),94
Michael Graves,(American | 1934–2015),96
Michael Graves,(American | 1934–2015),98
Aldo Rossi | Gianni Braghieri | M. Bosshard,(Italian | 1931–1997) (Italian | born 1945) (Italian),100
Ludwig Mies van der Rohe,(American | born Germany. 1886–1969),102
Erik Gunnar Asplund,(Swedish | 1885–1940),107
Erik Gunnar Asplund,(Swedish | 1885–1940),109
Erik Gunnar Asplund,(Swedish | 1885–1940),111
Erik Gunnar Asplund,(Swedish | 1885–1940),113
Erik Gunnar Asplund,(Swedish | 1885–1940),115
Erik Gunnar Asplund,(Swedish | 1885–1940),117
Erik Gunnar Asplund,(Swedish | 1885–1940),119
Erik Gunnar Asplund,(Swedish | 1885–1940),121
Erik Gunnar Asplund,(Swedish | 1885–1940),123
Erik Gunnar Asplund,(Swedish | 1885–1940),125
Erik Gunnar Asplund,(Swedish | 1885–1940),126
Erik Gunnar Asplund,(Swedish | 1885–1940),128
Erik Gunnar Asplund,(Swedish | 1885–1940),130
Erik Gunnar Asplund,(Swedish | 1885–1940),131
Erik Gunnar Asplund,(Swedish | 1885–1940),132
Erik Gunnar Asplund,(Swedish | 1885–1940),133
Erik Gunnar Asplund,(Swedish | 1885–1940),134
Erik Gunnar Asplund,(Swedish | 1885–1940),135
Erik Gunnar Asplund,(Swedish | 1885–1940),136
Erik Gunnar Asplund,(Swedish | 1885–1940),137
Erik Gunnar Asplund,(Swedish | 1885–1940),138
Erik Gunnar Asplund,(Swedish | 1885–1940),139
Erik Gunnar Asplund,(Swedish | 1885–1940),141
Erik Gunnar Asplund,(Swedish | 1885–1940),142
Erik Gunnar Asplund,(Swedish | 1885–1940),143
Erik Gunnar Asplund,(Swedish | 1885–1940),144
Erik Gunnar Asplund,(Swedish | 1885–1940),145
Erik Gunnar Asplund,(Swedish | 1885–1940),146
Erik Gunnar Asplund,(Swedish | 1885–1940),147
Erik Gunnar Asplund | Sigurd Lewerentz,(Swedish | 1885–1940) (Swedish),148
Erik Gunnar Asplund,(Swedish | 1885–1940),149
Erik Gunnar Asplund,(Swedish | 1885–1940),150
Paul Nelson | Frantz Jourdain | Oscar Nitzchke,(American | 1895–1979) (French | 1847–1935) (American | born Germany. 1900–1991),151
Paul Nelson | Frantz Jourdain | Oscar Nitzchke,(American | 1895–1979) (French | 1847–1935) (American | born Germany. 1900–1991),152
Paul Nelson | Oscar Nitzchke | Frantz Jourdain,(American | 1895–1979) (American | born Germany. 1900–1991) (French | 1847–1935),153
Paul Nelson | Frantz Jourdain | Oscar Nitzchke,(American | 1895–1979) (French | 1847–1935) (American | born Germany. 1900–1991),154
Steven Holl,(American | born 1947),163
Steven Holl,(American | born 1947),164
Erich Mendelsohn,(American | born Germany (now Poland). 1887–1953),165
Steven Holl,(American | born 1947),166
Erich Mendelsohn,(American | born Germany (now Poland). 1887–1953),167
Paolo Soleri,(American | born Italy. 1919–2013),168
Steven Holl,(American | born 1947),169
Erich Mendelsohn,(American | born Germany (now Poland). 1887–1953),170
Steven Holl,(American | born 1947),171
Erich Mendelsohn,(American | born Germany (now Poland). 1887–1953),172
Steven Holl,(American | born 1947),173
Erich Mendelsohn,(American | born Germany (now Poland). 1887–1953),174
Steven Holl,(American | born 1947),175
Erich Mendelsohn,(American | born Germany (now Poland). 1887–1953),176
Steven Holl,(American | born 1947),177
Erich Mendelsohn,(American | born Germany (now Poland). 1887–1953),178
Steven Holl,(American | born 1947),179
Erich Mendelsohn,(American | born Germany (now Poland). 1887–1953),180
Steven Holl,(American | born 1947),181
Erich Mendelsohn,(American | born Germany (now Poland). 1887–1953),182
Steven Holl,(American | born 1947),183
Erich Mendelsohn,(American | born Germany (now Poland). 1887–1953),184
Steven Holl,(American | born 1947),185
Erich Mendelsohn,(American | born Germany (now Poland). 1887–1953),186
Steven Holl,(American | born 1947),187
Erich Mendelsohn,(American | born Germany (now Poland). 1887–1953),188
Paul Rudolph,(American | 1918–1997),189
Erich Mendelsohn,(American | born Germany (now Poland). 1887–1953),190
Paul Rudolph,(American | 1918–1997),191
Erich Mendelsohn,(American | born Germany (now Poland). 1887–1953),192
