Shrimp Fishermen,1937,Oil on canvas,"21 1/4 x 31 3/4"" (54 x 80.6 cm)",Gift of James Thrall Soby,Painting,Painting & Sculpture,7/6/1943,Y,80002
Still Life #30,4/1/1963,"Oil, enamel and synthetic polymer paint on composition board with collage of printed advertisements, plastic flowers, refrigerator door, plastic replicas of 7-Up bottles, glazed and framed color reproduction, and stamped metal","48 1/2 x 66 x 4"" (122 x 167.5 x 10 cm)",Gift of Philip Johnson,Painting,Painting & Sculpture,12/8/1970,Y,80004
Composition,1956,Oil on burlap,"38 1/8 x 51 1/4"" (96.7 x 130.2 cm)",Gift of M. Knoedler & Company,Painting,Painting & Sculpture,12/19/1956,Y,80006
A-101,1964,Synthetic polmer paint on canvas,"52 x 52"" (132.1 x 132.1 cm)",Larry Aldrich Foundation Fund,Painting,Painting & Sculpture,10/6/1964,Y,80007
Maternity,c. 1892,Oil on canvas,"37 3/4 x 45 3/4"" (95.9 x 116.2 cm)",Given anonymously,Painting,Painting & Sculpture,12/29/1942,Y,80008
Dynamism of a Soccer Player,1913,Oil on canvas,"6' 4 1/8"" x 6' 7 1/8"" (193.2 x 201 cm)",The Sidney and Harriet Janis Collection,Painting,Painting & Sculpture,10/18/1967,Y,80009
Portrait of Mme Zamaron,1922,Oil on canvas,"32 1/8 x 25 7/8"" (81.5 x 65.6 cm)",Gift of Mr. and Mrs. Maxime L. Hermanos,Painting,Painting & Sculpture,10/6/1964,Y,80011
Nude and Spectral Still Life,1939,Oil on canvas,"36 1/8 x 28 5/8"" (91.7 x 72.6 cm)",The Sidney and Harriet Janis Collection,Painting,Painting & Sculpture,10/18/1967,Y,80012
The Olive Trees,"Saint Rémy, June-July 1889",Oil on canvas,"28 5/8 x 36"" (72.6 x 91.4 cm)",Mrs. John Hay Whitney Bequest,Painting,Painting & Sculpture,9/22/1998,Y,80013
"Lumia Suite, Op. 158",1963,Lumia composition (projected light on translucent screen),Screen 6' x 8' (182.8 x 243.2 cm),Commissioned by the Museum through the Mrs. Simon Guggenheim Fund,Painting,Painting & Sculpture,10/6/1964,N,80014
Talisman,1943,Tallow on wood,"6 3/8 x 10 7/8"" (15.9 x 27.4 cm)",The Sidney and Harriet Janis Collection,Painting,Painting & Sculpture,10/18/1967,Y,80015
"Study for ""Luxe, calme et volupté""",1904,Oil on canvas,"12 7/8 x 16"" (32.7 x 40.6 cm)",Mrs. John Hay Whitney Bequest,Painting,Painting & Sculpture,9/22/1998,Y,80016
The New Forest,1939,Oil on canvas,"25 x 30 1/8"" (63.5 x 76.5 cm)","Gift of the American Academy and National Institute of Arts and Letters Fund, through the American British Art Center",Painting,Painting & Sculpture,12/29/1942,Y,80019
Illumined Pleasures,1929,Oil and collage on composition board,"9 3/8 x 13 3/4"" (23.8 x 34.7 cm)",The Sidney and Harriet Janis Collection,Painting,Painting & Sculpture,10/18/1967,Y,80021
"Setting Sun. Sardine Fishing. Adagio. Opus 221 from the series The Sea, The Boats, Concarneau",1891,Oil on canvas,"25 5/8 x 31 7/8"" (65 x 81 cm)",Mrs. John Hay Whitney Bequest,Painting,Painting & Sculpture,9/22/1998,Y,80023
Windows,Paris 1912,Oil and wax on canvas,"31 1/2 x 27 5/8"" (79.9 x 70 cm)",The Sidney and Harriet Janis Collection,Painting,Painting & Sculpture,10/18/1967,Y,80024
Turning Road at Montgeroult,1898,Oil on canvas,"32 x 25 7/8"" (81.3 x 65.7 cm)",Mrs. John Hay Whitney Bequest,Painting,Painting & Sculpture,9/22/1998,Y,80025
Self Portrait (Yo),1901,Oil on cardboard mounted on wood,"20 1/4 x 12 1/2"" (51.4 x 31.8 cm)",Mrs. John Hay Whitney Bequest,Painting,Painting & Sculpture,9/22/1998,Y,80026
Exit from the Great Accolade,1963,Oil on canvas,"25 x 24 3/4"" (63.3 x 62.9 cm)","Gift of Cordier & Ekstrom, Inc.",Painting,Painting & Sculpture,12/10/1963,Y,80027
Simultaneous Counter-Composition,1929-30,Oil on canvas,"19 3/4 x 19 5/8"" (50.1 x 49.8 cm)",The Sidney and Harriet Janis Collection,Painting,Painting & Sculpture,10/18/1967,Y,80028
Landscape with Figure,1963,Oil on canvas,"42 x 50"" (106.5 x 126.9 cm)",Gift of G. David Thompson,Painting,Painting & Sculpture,12/10/1963,Y,80030
Flag Day,1935,Oil on canvas,"12 1/4 x 38 5/8"" (31.1 x 98 cm)",The Sidney and Harriet Janis Collection,Painting,Painting & Sculpture,10/18/1967,Y,80031
Hot and Cold Faucets with Drain,1975,Three silver dye bleach prints,"a) 39 7/8 x 30 1/8"" (101.2 x 76.4 cm)  b) 39 3/4 x 30"" (101.0 x 76.0 cm) c) 39 7/8 x 30"" (101.2 x 76.0 cm)",Purchased with the aid of funds from the National Endowment for the Arts,Photograph,Photography,12/7/1976,Y,80032
Figure of Piety,1944-45,Oil on canvas,"57 3/4 x 38 1/4"" (146.7 x 97.2 cm)",Gift of Mr. and Mrs. Charles Zadok,Painting,Painting & Sculpture,12/10/1963,Y,80033
Jaffrey,1976,Oil on canvas,"7' 7/8"" x 6' 1 7/8"" (212.8 x 187.3 cm)",Mr. and Mrs. Stuart M. Speiser Fund,Painting,Painting & Sculpture,12/7/1976,N,80035
Portrait of Henri Michaux,1/1/1947,"Oil on putty, pebbles, and sand on canvas","51 1/2 x 38 3/8"" (130.7 x 97.3 cm)",The Sidney and Harriet Janis Collection,Painting,Painting & Sculpture,10/18/1967,Y,80037
Large Blackboard with Shelf,1975,Oil on canvas,"50 1/2 x 7'10 1/2"" (128.4 x 240.1 cm)",Mrs. John C. Duncan Fund,Painting,Painting & Sculpture,12/7/1976,N,80038
Mural Painting,"Barcelona, October 18, 1950-January 26, 1951",Oil on canvas,"6' 2 3/4"" x 19' 5 3/4"" (188.8 x 593.8 cm)",Mrs. Simon Guggenheim Fund,Painting,Painting & Sculpture,12/10/1963,Y,80040
Plywood with Roller Marks Number 2,1974,Oil on canvas,"7' 1/4"" x 60 1/4"" (214 x 152.7 cm)",Mr. and Mrs. Stuart M. Speiser Fund,Painting,Painting & Sculpture,12/7/1976,Y,80042
Musical Squash,1942,Oil on canvas,"15 7/8 x 26 1/8"" (40.3 x 66.4 cm)",Gift of Mrs. Kenneth Simpson,Painting,Painting & Sculpture,12/29/1942,Y,80043
Ruin by the Sea,1930,Oil on canvas,"27 x 43 3/8"" (68.4 x 110 cm)","Purchased with funds provided by Mrs. Julia Feininger, Mr. and Mrs. Richard K. Weil and Mr. and Mrs. Ralph F. Colin",Painting,Painting & Sculpture,12/6/1966,Y,80044
Blue Short Circuit,2/1/1951,Oil on canvas,"46 1/8 x 35 1/4"" (117 x 89.4 cm)",The Sidney and Harriet Janis Collection,Painting,Painting & Sculpture,10/18/1967,Y,80045
Micrography,1966,Oil on canvas,"10 1/8 x 9 3/8"" (25.6 x 23.6 cm)",Purchase,Painting,Painting & Sculpture,12/6/1966,N,80046
Double Self-Portrait,1976,Oil on canvas,"24 x 36"" (60.8 x 91.5 cm)",Mr. and Mrs. Stuart M. Speiser Fund,Painting,Painting & Sculpture,12/7/1976,Y,80047
