The Forty Part Motet,2001,Re-working of Spem in Alium Nunquam habui |  1575 |  by Thomas Tallis. 40 track sound recording |  40 speakers,14,Gift of Jo Carole and Ronald S. Lauder in memory of Rolf Hoffmann,Installation,Media and Performance Art,5/8/2002,Y,87291
What You Mean We?,1986,Video (color |  sound),19:51,Purchase,Video,Media and Performance Art,11/25/1986,Y,88831
Head,1993,Video (color |  sound),2:49,Acquired through the generosity of Susan Jacoby,Video,Media and Performance Art,1/28/1999,Y,88832
Three Transitions,1973,Video (color |  sound),4:53,Acquired through the generosity of Barbara Pine,Video,Media and Performance Art,7/21/1976,Y,88833
5 Minute Break,2001,Two-channel video (color |  sound),4:35,Gift of The Contemporary Arts Council of The Museum of Modern Art |  Barbara Foshay |  Susan Jacoby |  Margot Ernst |  Shining Sun |  Lisa A. Appelbaum |  Lois Plehn and Richard Plehn,Installation,Media and Performance Art,3/19/2003,Y,88836
URA ARU (the backside exists),1985-1986,Video (color |  sound),28:30:00,Acquired through the generosity of Margot and John Ernst,Video,Media and Performance Art,12/15/1985,Y,88837
The Loner,1980,Video (color |  sound),30,Purchase,Video,Media and Performance Art,11/16/1981,Y,88838
HIDEO |  It's Me Mama,1983,Video (color |  sound),26:49:00,Acquired through the generosity of Margot and John Ernst,Video,Media and Performance Art,9/3/1984,Y,88839
Interregna,1999-2000,Video (color |  sound),10:30,Fractional and promised gift of David Teiger,Video,Media and Performance Art,,Y,88840
Meta-Mayan II,1981,Video (color |  sound),20,Acquired through the generosity of Mr. and Mrs. Lee Toole,Video,Media and Performance Art,11/16/1981,Y,88841
Navigating the Void,2002,Video (black and white |  silent),5,Purchase,Video,Media and Performance Art,3/19/2003,Y,88842
SSS,1989,Video (color |  sound),6,Purchase,Video,Media and Performance Art,8/18/2000,Y,88933
Cold Pieces 2,2002,Video (black and white and color |  silent),5,Purchase,Video,Media and Performance Art,7/25/2002,Y,88934
Beta Nassau,1993,Video (color |  sound),9,Acquired through the generosity of Angeliki Intzides,Video,Media and Performance Art,3/19/2003,Y,88936
Semiotics of the Kitchen,1975,Video (black and white |  sound) ,6:09,Purchase,Video,Media and Performance Art,11/16/1981,Y,88937
The Modern Procession,2002,Two-channel video (color |  sound),12,Gift of the Silverweed Foundation,Installation,Media and Performance Art,7/3/2004,Y,89008
The Text of Light,1974,16mm film (color |  silent),68,Jerome Foundation Purchase Fund,Film,Film,,Y,89260
Meshes of the Afternoon,1943,16mm film (black and white |  silent),14,Acquired from the Artist,Film,Film,4/27/1956,Y,89283
Steamboat Willie,1928,35mm film (black and white |  sound),8,Acquired from The Walt Disney Corp.,Film,Film,1/1/1935,Y,89284
Potemkin (Bronenosets Potemkin),1925,35mm film (black and white and hand-colored |  silent),75,Acquired from Reichsfilmarchiv,Film,Film,1/1/1938,Y,89286
Berlin Alexanderplatz,1979-80,35mm film (color |  sound),903,Purchase from Bavaria Film International,Film,Film,1/1/2007,Y,89336
The Merchant of Four Seasons (Händler der vier Jahreszeiten),1971,35mm film (color |  sound),88,Acquired from the Rainer Werner Fassbinder Foundation |  1999 |  and New Yorker Films |  2004,Film,Film,4/1/1999,Y,89341
Nanook of the North,1922,35mm film (black and white and color tinted |  silent),74,Acquired from the Artist. Preserved with funding from the Celeste Bartos Film Preservation Fund and the National Endowment for the Arts,Film,Film,1/1/1937,Y,89346
Intolerance,1916,35mm film (black and white and color tinted |  silent),196,Acquired from the Artist. Preserved with funding from the Celeste Bartos Film Preservation Fund,Film,Film,1/1/1938,Y,89349
Double Lunar Dogs,1984,Video (color |  sound),24,Purchase,Video,Media and Performance Art,12/15/1992,Y,89352
A Trip to the Moon (Le Voyage dans la lune),1902,35mm film (black and white and hand-colored |  silent),11,,Film,Film,1/1/1935,Y,89492
Meet Me in St. Louis,1944,35mm film (color |  sound),113,Restored in cooperation with Turner Entertainment with funding from AT&T,Film,Film,2/1/1989,Y,89493
The Wind,1928,35mm film (black and white |  silent with synchronized music and effects),72,Acquired from Metro-Goldwyn-Mayer. Restored with funding from The Lillian Gish Trust for Film Preservation,Film,Film,10/1/1936,Y,89498
The Man with the Movie Camera (Chelovek S. Kino-apparatom),1929,35mm film (black and white |  silent),65,Acquired on exchange with Gosfilmofund,Film,Film,1/1/1969,Y,89505
Chott el-Djerid (A Portrait in Light and Heat),1979,Video (color |  sound),28,Acquired through the generosity of Catherine V. Meacham,Video,Media and Performance Art,3/4/1981,Y,89506
Rhythmus 21,1921,35mm film (black and white |  silent),3,Film in the permanent collection of The Museum of Modern Art |  New York,Film,Film,,Y,91477
Le Retour à la raison,1923,35mm film (black and white |  silent),2,Film in the permanent collection of The Museum of Modern Art |  New York,Film,Film,,Y,91481
Emak Bakia,1926,35mm film (black and white |  silent),15,Acquired from the Artist and Rubenstein |  Progress Films,Film,Film,5/1/1936,Y,91482
Ballet mécanique,1924,35mm film (black and white |  silent),12,Film in the permanent collection of The Museum of Modern Art |  New York,Film,Film,,Y,91484
Entr'acte,1924,,17,Film in the permanent collection of The Museum of Modern Art |  New York.,Film,Film,,Y,91485
Anemic Cinema,1926,35mm film (black and white |  silent),7,Film in the permanent collection of The Museum of Modern Art |  New York,Film,Film,,N,91486
The Ballad of Sexual Dependency,1979-2004,Multimedia installation with 690 slides and a programmed soundtrack,43,Purchase,Installation,Photography,5/13/2004,N,93097
Songdelay,1973,16mm film transferred to video (black and white |  sound),18:35,Acquired through the generosity of Barbara Wise,Video,Media and Performance Art,9/1/2004,Y,93164
Never My Soul (single screen version),2001,Video (color |  sound),180,Fund for the Twenty-First Century,Video,Media and Performance Art,4/13/2004,Y,93287
89 seconds at Alcázar,2004,Video (color |  sound),10,Fund for the Twenty-First Century,Installation,Media and Performance Art,4/13/2004,Y,93645
Lemon,1969,16mm film (color |  sound),8,Deposited by Marion Faller with the Circulating Film and Video Library,Film,Film,12/1/1989,N,93646
Manhatta,1921,35mm film (black and white |  silent),9,The Museum of Modern Art |  Department of Film,Film,Film,1/1/1956,Y,94217
Hatsu-Yume (First Dream),1981,Video (color |  sound),56,Acquired through the generosity of Catherine V. Meacham Durgin,Video,Media and Performance Art,11/3/1982,Y,94791
Gentlemen,2003,Video (color |  sound),25,Fund for the Twenty-First Century,Installation,Media and Performance Art,6/7/2004,Y,98692
Deadpan,1997,16mm film transferred to video (black and white |  silent),4:35,Fractional and promised gift of Thea Westreich and Ethan Wagner,Installation,Media and Performance Art,12/1/2004,Y,98724
Goodboy,2001,Video (color |  sound),2,Fund for the Twenty-First Century,Video,Media and Performance Art,12/13/2004,Y,98805
High Performance,2000,Video (color |  sound),3,Fund for the Twenty-First Century,Video,Media and Performance Art,12/13/2004,Y,98806
Selected Works: Reel 3,1972-73,Nineteen videos (black and white |  sound and silent),17:54,Acquired through the generosity of Barbara Pine,Video,Media and Performance Art,5/15/1975,Y,99025
No. 4 (Bottoms),1966,16mm film transferred to DVD.,80,Yoko Ono |  and the Circulating Film and Video Library |  The Museum of Modern Art,Film,Film,,N,99926
Painting Face Down - White Line,1972,Video (black and white |  sound),2,Acquired through the generosity of Barbara Wise,Video,Media and Performance Art,8/30/2005,Y,100093
Guitar Drag,2000,Video (color |  sound),14,Fund for the Twenty-First Century,Installation,Media and Performance Art,2/10/2004,Y,100107
Làk-kat,2004,Video (color |  sound),9:44,Fund for the Twenty-First Century,Video,Media and Performance Art,12/13/2004,Y,100109
My birds...trash...the future,2004,Two-channel video (color |  sound),17,Fund for the Twenty-First Century,Installation,Media and Performance Art,,Y,100110
Reason Is A Name Given To Collective Thought,2002-2003,Video (color |  sound),2:30,Fund for the Twenty-First Century,Video,Media and Performance Art,9/2/2005,Y,100111
Dunking,2004,Video (color |  sound),3:19,Fund for the Twenty-First Century,Video,Media and Performance Art,6/30/2005,Y,100116
Wrestling,2003,Video (color |  sound),3:06,Fund for the Twenty-First Century,Video,Media and Performance Art,6/30/2005,Y,100117
Play Dead; Real Time,2003,Three-channel video (color |  silent) |  two projectors |  two screens |  monitor,19:11  |  14:44  (on large screens) |  21:58  (on monitor) Minimum Room Size: 24.8m x 13.07m,Acquired through the generosity of Richard J. Massey,Installation,Media and Performance Art,4/1/2005,Y,100620
The Year of the Doppelganger,2004,Video (color |  sound),4:47,Fund for the Twenty-First Century,Video,Media and Performance Art,11/25/2005,Y,100686
Between Darkness and Light (After William Blake),1997,Two-channel video (color and black and white |  sound) |  dual vision screen,107  and 155 ,Gift of Celeste and Adam Bartos |  Drue Heinz |  Marlene Hess |  Michael Ovitz |  and Sid Bass,Installation,Media and Performance Art,7/26/2005,Y,102420
