WarName,WarType,ccode,StateName,Side,StartYear,EndYear,Initiator,Outcome,WhereFought,BatDeath,WarNum
Franco-Spanish War,1,230,Spain,2,1823,1823,2,2,2,600,1
Franco-Spanish War,1,220,France,1,1823,1823,1,1,2,400,1
First Russo-Turkish,1,640,Ottoman Empire,2,1828,1829,2,2,11,80000,4
First Russo-Turkish,1,365,Russia,1,1828,1829,1,1,11,50000,4
Mexican-American,1,70,Mexico,2,1846,1847,2,2,1,6000,7
Mexican-American,1,2,United States of America,1,1846,1847,1,1,1,13283,7
Austro-Sardinian,1,337,Tuscany,2,1848,1848,2,2,2,100,10
Austro-Sardinian,1,325,Italy,2,1848,1848,1,2,2,3400,10
Austro-Sardinian,1,300,Austria,1,1848,1848,2,1,2,3927,10
Austro-Sardinian,1,332,Modena,2,1848,1848,2,2,2,100,10
First Schleswig-Holstein,1,255,Prussia,1,1848,1848,1,1,2,2500,13
First Schleswig-Holstein,1,390,Denmark,2,1848,1848,2,2,2,3500,13
Roman Republic,1,220,France,1,1849,1849,1,1,2,1000,16
Roman Republic,1,329,Two Sicilies,1,1849,1849,2,1,2,100,16
Roman Republic,1,300,Austria,1,1849,1849,2,1,2,100,16
Roman Republic,1,327,Papal States,2,1849,1849,2,2,2,1400,16
La Plata,1,160,Argentina,2,1851,1852,2,2,1,800,19
La Plata,1,140,Brazil,1,1851,1852,1,1,1,500,19
Crimean,1,640,Turkey,1,1853,1856,1,1,2,45000,22
Crimean,1,325,Italy,1,1855,1856,2,1,2,2200,22
Crimean,1,220,France,1,1854,1856,2,1,2,95000,22
Crimean,1,200,United Kingdom,1,1854,1856,2,1,2,22000,22
Crimean,1,365,Russia,2,1853,1856,2,2,2,100000,22
Anglo-Persian,1,200,United Kingdom,1,1856,1857,1,1,6,500,25
Anglo-Persian,1,630,Iran,2,1856,1857,2,2,6,1500,25
Italian Unification,1,325,Sardinia/Piedmont,1,1859,1859,2,1,2,2500,28
Italian Unification,1,300,Austria,2,1859,1859,1,2,2,12500,28
Italian Unification,1,220,France,1,1859,1859,2,1,2,7500,28
First Spanish-Moroccan,1,600,Morocco,2,1859,1860,2,2,6,6000,31
First Spanish-Moroccan,1,230,Spain,1,1859,1860,1,1,6,4000,31
Italian-Roman,1,325,Sardinia/Piedmont,1,1860,1860,1,1,2,300,34
Italian-Roman,1,327,Papal States,2,1860,1860,2,2,2,700,34
Neapolitan,1,329,Two Sicilies,2,1860,1861,2,2,2,400,37
Neapolitan,1,325,Sardinia/Piedmont,1,1860,1861,1,1,2,600,37
Franco-Mexican,1,70,Mexico,1,1862,1867,2,4,1,12000,40
Franco-Mexican,1,220,France,2,1862,1867,1,4,1,8000,40
Ecuadorian-Colombian,1,100,Colombia,1,1863,1863,1,1,1,300,43
Ecuadorian-Colombian,1,130,Ecuador,2,1863,1863,2,2,1,700,43
Second Schleswig-Holstein,1,255,Germany,1,1864,1864,1,1,2,1048,46
Second Schleswig-Holstein,1,390,Denmark,2,1864,1864,2,2,2,2933,46
Second Schleswig-Holstein,1,300,Austria,1,1864,1864,2,1,2,500,46
Lopez,1,160,Argentina,1,1865,1870,2,1,1,10000,49
Lopez,1,150,Paraguay,2,1864,1870,1,2,1,200000,49
Lopez,1,140,Brazil,1,1864,1870,2,1,1,100000,49
Naval War,1,155,Chile,1,1865,1866,2,1,1,100,52
Naval War,1,135,Peru,1,1866,1866,2,1,1,600,52
Naval War,1,230,Spain,2,1865,1866,1,2,1,300,52
Seven Weeks,1,325,Italy,1,1866,1866,2,1,2,4000,55
Seven Weeks,1,275,Hesse Grand Ducal,2,1866,1866,2,2,2,100,55
Seven Weeks,1,271,Wuerttemburg,2,1866,1866,2,2,2,100,55
Seven Weeks,1,245,Bavaria,2,1866,1866,2,2,2,500,55
Seven Weeks,1,300,Austria,2,1866,1866,2,2,2,28000,55
Seven Weeks,1,255,Germany,1,1866,1866,1,1,2,10000,55
Seven Weeks,1,280,Mecklenburg Schwerin,1,1866,1866,2,1,2,100,55
Seven Weeks,1,273,Hesse Electoral,2,1866,1866,2,2,2,100,55
Seven Weeks,1,269,Saxony,2,1866,1866,2,2,2,600,55
Seven Weeks,1,267,Baden,2,1866,1866,2,2,2,100,55
Seven Weeks,1,240,Hanover,2,1866,1866,2,2,2,500,55
Franco-Prussian,1,271,Wuerttemburg,1,1870,1870,2,1,2,976,58
