ArtistName,ArtistNationality,ArtistBornCountry,ArtistBornYear,ArtistDeadYear
Otto Wagner,Austrian,,1841,1918
Christian de Portzamparc,French,,1944,
Emil Hoppe,Austrian,,1876,1957
Bernard Tschumi,French,Switzerland,1944,
Louis I. Kahn,American,Estonia,1901,1974
Marcel Kammerer,Austrian,,1878,1969
Otto Schönthal,Austrian,,1878,1961
Hans Poelzig,German,,1869,1936
Raimund Abraham,American,Austria,1933,2010
Peter Eisenman,American,,1932,
Rem Koolhaas,Dutch,,1944,
Madelon Vriesendorp,Dutch,,1945,
Roger C. Ferri,American,,1949,1991
Michael Graves,American,,1934,2015
Aldo Rossi,Italian,,1931,1997
Gianni Braghieri,Italian,,1945,
Ludwig Mies van der Rohe,American,Germany,1886,1969
Erik Gunnar Asplund,Swedish,,1885,1940
Paul Nelson,American,,1895,1979
Frantz Jourdain,French,,1847,1935
Oscar Nitzchke,American,Germany,1900,1991
Steven Holl,American,,1947,
Paolo Soleri,American,Italy,1919,2013
Paul Rudolph,American,,1918,1997
Peter Cook,British,,1936,
Diller + Scofidio,American,established,1979,
Elizabeth Diller,American,Poland,1954,
Ricardo Scofidio,American,,1935,
Zaha Hadid,British,Iraq,1950,
Fumihiko Maki,Japanese,,1928,
Zoe Zenghelis,British,Greece,1937,
Elia Zenghelis,British,Greece,1937,
Frank Lloyd Wright,American,,1867,1959
Mario Bellini,Italian,,1935,
Venturi and Rauch,American,est,1964,1979
Robert Venturi,American,,1925,
John Rauch,American,,1930,
Denise Scott Brown,American,,1931,
Venturi,American,established,1980,
Rauch and Scott Brown,American,,1925,
Robert Venturi,American,,1930,
John Rauch,American,,1931,
Emilio Ambasz,Argentine,,1943,
Tadao Ando,Japanese,,1941,
Arata Isozaki,Japanese,,1931,
Theo van Doesburg (Christian Emil Marie Küpper),Dutch,,1883,1931
Cornelis van Eesteren,Dutch,,1897,1988
Roberto Burle Marx,Brazilian,,1909,1994
Oscar Niemeyer,Brazilian,,1907,2012
Neil M. Denari,American,,1957,
David Jacob,American,,1928,
Mario Botta,Swiss,,1943,
R. Buckminster Fuller,American,,1895,1983
Alessandro Mendini,Italian,,1931,
Herbert Bayer,American,Austria,1900,1985
Leon Krier,Luxembourgish,,1946,
Daniel Libeskind,American,Poland,1946,
Thom Mayne,American,,1944,
Andrew Zago,American,,1958,
Santa Monica,American,,1944,
CA,American,,1958,
Joel Sanders,American,,1956,
Massimo Scolari,Italian,,1943,
Kenneth Snelson,American,,1927,
Ernesto Bruno La Padula,Italian,,1902,1968
Giovanni Guerrini,Italian,,1887,1972
Richard Meier,American,,1934,
Rafael Viñoly,American,Uruguay,1944,
Santiago Calatrava,Spanish,,1951,
Norman Foster,British,,1935,
Frederick Kiesler,American,Austria-Hungary,1890,1965
Jason Crum,American,,1935,2004
Konrad Wachsmann,American,Germany,1901,1980
Ricardo Bofill,Spanish,,1939,
Frank O. Gehry,American,Canada,1929,
Wolf D. Prix,Austrian,,1942,
Helmut Swiczinsky,Polish,,1944,
Cesar Pelli,American,Argentina,1926,
Chuck Hoberman,American,,1956,
Hans Hollein,Austrian,,1934,2014
Scott Marble,American,,1960,
Karen Fairbanks,American,,1959,
Yoshito Takahashi,Japanese,,1962,
James Stirling,British,Scotland,1926,1992
Iakov Chernikhov,Russian,,1889,1951
Robert A. M. Stern,American,,1939,
James Wines,American,,1932,
Michelle Stone,American,,1944,
Emilio Sousa,American,,1944,
Harry C. Wolf,American,,1935,
Mehrdad Yazdani,Iranian,,1959,
Le Corbusier (Charles-Édouard Jeanneret),French,Switzerland,1887,1965
Edward Larrabee Barnes,American,,1915,2004
Götz Keller,German,,1958,
Willem Jan Neutelings,Dutch,,1959,
Brigitte Kochta,German,,1958,
Marty Kohn,Canadian,,1953,
Luc Reuse,Belgian,,1955,
Ron Steiner,American,,1952,
Jeroen Thomas,Dutch,,1952,
Garciella Torre,Spanish,,1959,
Kisho Kurokawa,Japanese,,1934,2007
Richard Neutra,American,Austria,1892,1970
Wiel Arets,Dutch,,1955,
Basel,Swiss,,1950,
Jacques Herzog,Swiss,,1950,
Skidmore Owings & Merrill,American,founded,1936,
Gordon Bunshaft,American,,1909,1990
Toyo Ito,Japanese,,1941,
Paris,French,,1953,
Gaetano Pesce,Italian,,1939,
Yoshio Taniguchi,Japanese,,1931,
Walter Pichler,Austrian,,1936,2012
SITE (Sculpture in the Environment),American,founded,1970,
John Hejduk,American,,1929,2000
Andrea Branzi,Italian,,1938,
Yona Friedman,French,Hungary,1923,
Ron Herron,British,,1930,1994
Rodolfo Machado,American,Argentina,1942,
Jorge Silvetti,American,Argentina,1942,
Max Peintner,Austrian,,1937,
Cedric Price,British,,1934,2003
Shoji Sadao,American,,1927,
Friedrich St. Florian,American,Austria,1932,
Superstudio,Italian,est,1966,1982
Gian Piero Frassinelli,Italian,,1939,
Alessandro Magris,Italian,,1941,
Roberto Magris,Italian,,1935,
Adolfo Natalini,Italian,,1941,
Cristiano Toraldo di Francia,Italian,,1941,
Lauretta Vinciarelli,Italian,,1943,2012
J. da Nobrega,Italian,,1945,
J. Charters,Italian,,1945,
Ettore Sottsass,Italian,Austria,1917,2007
Mathias Ungers,German,,1926,2007
Michael Webb,British,,1937,
Steven Holl Architects,American,founded,1976,
Stephen Cassell,American,,1963,
Art Zaaijer,Dutch,,1958,
Xaveer de Geijter,Belgian,,1957,
Georges Heinz,French,,1959,
