Title,Year,Medium,Width,Height,Depth,CreditLine,Classification,Department,YearAcquired,CuratorApproved,ObjectID
Untitled from the Museum in Progress project Signs of Trouble,g 26,Lithograph |  offset printed,47,31.5,null,Linda Barth Goldstein Fund,Print,Prints & Illustrated Books,2006,N,103494
Oskar Serti's Wanderings from the Museum in Progress project Gap Filler,3-94,48 lithographs |  offset printed,null,null,null,Linda Barth Goldstein Fund,Print,Prints & Illustrated Books,2006,N,103506
Women's Work is Never Done from the Museum in Progress project Worlds of Work,28 |,Two lithographs |  offset printed,null,null,null,Linda Barth Goldstein Fund,Print,Prints & Illustrated Books,2006,N,103513
Untitled from the Museum in Progress project Portraits of Artists,h 30,Lithograph |  offset printed,47,31.5,null,Linda Barth Goldstein Fund,Print,Prints & Illustrated Books,2006,N,103623
Letterfalls from the Museum in Progress project Gap Filler,2-93,49 lithographs |  offset printed,null,null,null,Linda Barth Goldstein Fund,Print,Prints & Illustrated Books,2006,N,103760
Kassiber from the Museum in Progress project TransAct 2 - Linguistic Fields,27 |,Four lithographs |  offset printed,null,null,null,Linda Barth Goldstein Fund,Print,Prints & Illustrated Books,2006,N,103767
Choicefrom the Museum in Progress project The Standard Museum,Nov,Four lithographs |  offset printed,47,31.5,null,Linda Barth Goldstein Fund,Print,Prints & Illustrated Books,2006,N,104825
Picador,Augu,Linoleum cut,53.1,64.2,null,General Print Fund and Riva Castleman Endowment Fund,Print,Prints & Illustrated Books,2006,Y,105738
Untitled,lat,Watercolor on paper,21,21,null,Purchased with funds provided by The Edward John Noble Foundation,Drawing,Drawings,2006,Y,105960
verzogen from the Museum in Progress project Interventions in Progress,28 |,Lithograph |  offset printed,47,31.5,null,Linda Barth Goldstein Fund,Print,Prints & Illustrated Books,2006,N,115056
The Volga Boatman Martha Atwell: A Musical Scenic (Reverse),6 an,Tempera on poster board (The Volga Boatman) and  Tempera and conté crayon on poster board (Martha Atwell),109.2,61.6,null,Gift of Judith and Steven Katten,Work on Paper,Film,-1,N,118909
Sarah Bernhardt from Portraits of Actors and Actresses: Thirteen Lithographs (Portraits d'Acteurs & Actrices: Treize Lithographies),8 |,One from a portfolio of thirteen lithographs,null,null,null,Gift of Abby Aldrich Rockefeller,Print,Prints & Illustrated Books,1946,Y,126478
May Belfort from Portraits of Actors and Actresses: Thirteen Lithographs (Portraits d'Acteurs & Actrices: Treize Lithographies),8 |,One from a portfolio of thirteen lithographs,null,null,null,Gift of Abby Aldrich Rockefeller,Print,Prints & Illustrated Books,1946,Y,126488
Inwards-Outwards; Incompatibilty; and Sine Nomine opus 6,1/63,Typewriting through carbon and ballpoint pen on paper,29.1,21,null,The Gilbert and Lila Silverman Fluxus Collection Gift,Drawing,Prints & Illustrated Books,2008,Y,127292
Exhibit Seven (Clock) or Small Noontime House Number Clock (For Claes),1 |,Brass numbers mounted on painted wood with screws,15.7,11.6,2.6,The Gilbert and Lila Silverman Fluxus Collection Gift,Sculpture,Prints & Illustrated Books,2008,Y,127309
Exit,1 |,Metal sign mounted on painted wood,9,28.2,2.2,The Gilbert and Lila Silverman Fluxus Collection Gift,Sculpture,Prints & Illustrated Books,2008,Y,128035
Provisional plan of FLUXUS contents and FLUXUS festival/fluxus tenative plan for contents of the first 6 issues,Dec,(CONFIRM),null,null,null,The Gilbert and Lila Silverman Fluxus Collection Gift,Print,Prints & Illustrated Books,2008,N,128215
Ball Game,date,,9.6,9.6,7.7,The Gilbert and Lila Silverman Fluxus Collection Gift,Sculpture,Fluxus Collection,2008,N,130569
Fluxus Anything Box,2/c.,Plastic box with offset label containing various objects,7.5,10.2,2.9,The Gilbert and Lila Silverman Fluxus Collection Gift,Multiple,Prints & Illustrated Books,2008,N,131283
Fluxus cc fiVe ThReE Fluxus newspaper no. 4 |  June 1964,4/c.,(Flash Art Reprint),58.4,44,2.8,The Gilbert and Lila Silverman Fluxus Collection Gift,Periodical,Prints & Illustrated Books,2008,N,131670
Meal Variation No. 1 Eaten By Arman from 31 Variations on a Meal,64/c,Screenprint on fabric,null,null,null,The Gilbert and Lila Silverman Fluxus Collection Gift,Print,Prints & Illustrated Books,2008,N,131729
The Identical Lunch with Ay-O,8-69,Screenprint on canvas,null,null,null,The Gilbert and Lila Silverman Fluxus Collection Gift,Print,Fluxus Collection,2008,N,131742
The Identical Lunch with Ann Brazeau,8-69,Screenprint on canvas,null,null,null,The Gilbert and Lila Silverman Fluxus Collection Gift,Print,Fluxus Collection,2008,N,131743
The Identical Lunch with George Maciunas,8-69,Screenprint on canvas,null,null,null,The Gilbert and Lila Silverman Fluxus Collection Gift,Print,Fluxus Collection,2008,N,131744
The Identical Lunch with Shigeko Kubota,8-69,Screenprint on canvas,null,null,null,The Gilbert and Lila Silverman Fluxus Collection Gift,Print,Fluxus Collection,2008,N,131745
Fluxus 1,64/c,Book with offset |  metal bolts and stamped ink |  containing objects in various media |  in wood box,4.8,22.5,24.3,The Gilbert and Lila Silverman Fluxus Collection Gift,Illustrated Book,Prints & Illustrated Books,2008,N,131782
Prototype for A Question or More,59 |,Three plastic boxes,3.4,6.8,7.5,The Gilbert and Lila Silverman Fluxus Collection Gift,Multiple,Fluxus Collection,2008,N,132143
Reminiscensijos,72/c,artist's book |  52 pages |  wood cover with hinges,13.8,19.5,3,The Gilbert and Lila Silverman Fluxus Collection Gift,Illustrated Book,Fluxus Collection,2008,N,132210
