Title,Year,Medium,Width,Height,Depth,CreditLine,Classification,Department,YearAcquired,CuratorApproved,ObjectID
Monika,(196,Woodcut,46.5,35,null,Johanna and Leslie J. Garfield Fund,Print,Prints & Illustrated Books,1990,Y,60014
Scribes (Schriftgelehrte),11 |,Etching and tonal etching,26.7,29.8,null,Purchase,Print,Prints & Illustrated Books,1947,Y,60035
Tom Mix II,(192,Etching,13.9,18.4,null,Blanchette Hooker Rockefeller Fund,Print,Prints & Illustrated Books,1979,Y,60042
Three-Sided Elevation on Red,(197,Tempera pliage,72.7,50,null,Gift of Staatliche Kunstsammlungen Dresden (by exchange),Print,Prints & Illustrated Books,1979,Y,60093
RIOT I from the FASHION MODA BENEFIT PORTFOLIO,(Oct,Lithograph,null,null,null,Purchase,Print,Prints & Illustrated Books,1986,N,60095
Untitled from the FASHION MODA BENEFIT PORTFOLIO,(Oct,Screenprint,null,null,null,Purchase,Print,Prints & Illustrated Books,1986,N,60097
S.O.S. from the FASHION MODA BENEFIT PORTFOLIO,(Oct,Screenprint and lithograph,null,null,null,Purchase,Print,Prints & Illustrated Books,1986,N,60098
GOSSIP from the FASHION MODA BENEFIT PORTFOLIO,(Aug,Screenprint and lithograph,null,null,null,Purchase,Print,Prints & Illustrated Books,1986,N,60099
PIANO DREAM from the FASHION MODA BENEFIT PORTFOLIO,(Sep,Screenprint and linoleum cut,null,null,null,Purchase,Print,Prints & Illustrated Books,1986,N,60100
KOSTABI FACTORY from the FASHION MODA BENEFIT PORTFOLIO,(Oct,Lithograph and screenprint,null,null,null,Purchase,Print,Prints & Illustrated Books,1986,N,60102
The Departure (Le Départ),(May,Lithograph,53.8,64.9,null,Abby Aldrich Rockefeller Fund,Print,Prints & Illustrated Books,1952,Y,60145
LES LEVINE LXVI,(Aug,Thirty-one photo-offsets |  printed in color,null,null,null,Gift of the Fischbach Gallery,Print,Prints & Illustrated Books,1966,N,60150
Homage to Picasso (Hommage à Picasso),publ,Portfolio of thirty-one lithographs (one with aquatint |  one with collotype |  one with screenprint) |  twenty-two screenprints (one with embossing |  one with flocking |  one with stencil) |  eleven etchings (five with aquatint |  one with aquatint and drypoint |  one with aquatint |  drypoint |  and engraving) |  three aquatints (one with etching) |  and two woodcuts,62.2,81.3,4.8,Gift of Dorothy Miller (by exchange),Print,Prints & Illustrated Books,1987,Y,60201
Untitled from the portfolio Hommage à Picasso,(Pub,Lithograph from a portfolio of sixty-nine mixed media prints,36.9,44.4,null,Gift of Dorothy Miller (by exchange),Print,Prints & Illustrated Books,1987,N,60202
Untitled from the portfolio Hommage à Picasso,Publ,Etching from a portfolio of sixty-nine mixed media prints,31.8,23.9,null,Gift of Dorothy Miller (by exchange),Print,Prints & Illustrated Books,1987,N,60205
Untitled from the portfolio Hommage à Picasso,Publ,Etching and aquatint from a portfolio of sixty-nine mixed media prints,33.9,36.7,null,Gift of Dorothy Miller (by exchange),Print,Prints & Illustrated Books,1987,N,60219
Untitled from the portfolio Hommage à Picasso,Publ,Woodcut from a portfolio of sixty-nine mixed media prints,null,null,null,Gift of Dorothy Miller (by exchange),Print,Prints & Illustrated Books,1987,N,60222
Untitled from the portfolio Hommage à Picasso,Publ,Etching and aquatint from a portfolio of sixty-nine mixed media prints,55,41.4,null,Gift of Dorothy Miller (by exchange),Print,Prints & Illustrated Books,1987,N,60236
Pl. 16 EARTH RITUAL. (p.103.) from the portfolio Hommage à Picasso,Publ,Screenprint from a portfolio of sixty-nine mixed media prints,null,null,null,Gift of Dorothy Miller (by exchange),Print,Prints & Illustrated Books,1987,N,60238
Untitled from the portfolio Hommage à Picasso,Publ,Lithograph on steel mirror from a portfolio of sixty-nine mixed media prints,null,null,null,Gift of Dorothy Miller (by exchange),Print,Prints & Illustrated Books,1987,N,60249
Untitled from the portfolio Hommage à Picasso,Publ,Screenprint from a portfolio of sixty-nine mixed media prints,62.3,49.5,null,Gift of Dorothy Miller (by exchange),Print,Prints & Illustrated Books,1987,N,60251
Untitled from the portfolio Hommage à Picasso,Publ,Screenprint from a portfolio of sixty-nine mixed media prints,50,50,null,Gift of Dorothy Miller (by exchange),Print,Prints & Illustrated Books,1987,N,60254
Picasso from the portfolio Hommage à Picasso,Publ,Screenprint |  from a portfolio of sixty-nine mixed media prints,55.2,55.2,null,Gift of Dorothy Miller (by exchange),Print,Prints & Illustrated Books,1987,N,60265
Sea Landscape,(19),Photoengraving,20.2,19.8,null,Gift of Mr. and Mrs. Wolfgang Schoenborn,Print,Prints & Illustrated Books,1972,Y,60285
Return of the Prodigal Son (Rückkehr des verlorenen Sohnes) from the annual portfolio of the Alliance for the Advancement of German Art (Verbindung zur Förderung deutscher Kunst),(191,Woodcut,null,null,null,Purchase,Print,Prints & Illustrated Books,1947,Y,60322
Hoomin Consurn/Personal Torment,(19),Lithograph,57.3,53.5,null,John B. Turner Fund,Print,Prints & Illustrated Books,1972,Y,60482
Walt Whitman,Date,Wood engraving,39.1,39.1,null,Gift of the artist,Print,Prints & Illustrated Books,1959,N,60494
Marie-Thérèse Asleep by the Sea from La barre d'appui,June,Aquatint,15.8,10.7,null,Acquired through the Lillie P. Bliss Bequest,Print,Prints & Illustrated Books,1948,Y,60507
The Fight in the Arena (Le Combat dans l'arène) |  fourth state,(Oct,Drypoint and engraving,39.7,49.4,null,Acquired through the Lillie P. Bliss Bequest,Print,Prints & Illustrated Books,1948,Y,60545
Grand Air,Prob,Heliogravure and scraper,41.8,31.8,null,A. Conger Goodyear Fund,Print,Prints & Illustrated Books,1948,Y,60567
Orpheus in the Underworld (Orpheus in der Unterwelt) from the portfolio Orpheus: 10 Woodcuts on the Verses of Ovid (10 Holzschnitte zu den Versen des Ovid),(194,Woodcut,19.2,23.7,null,Gift of Mr. and Mrs. Kurt Delbanco,Print,Prints & Illustrated Books,1961,Y,60574
Rock (Membership Card for the New Artists' Association Munich) [Felsen (Mitgliedskarte für die Neue Künstlervereinigung München)],(190,Woodcut,14.2,14.5,null,Louise Reinhardt Smith Bequest,Print,Prints & Illustrated Books,1996,Y,60583
The Observer (Study for Crucifixion),Oct.,Lithograph,31.7,40.8,null,Inter-American Fund,Print,Prints & Illustrated Books,1957,Y,60590
Death by the Maenads (Tod durch die Mänaden) from the portfolio Orpheus: 10 Woodcuts on the Verses of Ovid (10 Holzschnitte zu den Versen des Ovid),(194,Woodcut,30.5,33.3,null,Gift of Mr. and Mrs. Kurt Delbanco,Print,Prints & Illustrated Books,1961,Y,60592
Nelly I,(192,Etching,19.4,14.3,null,Mrs. Bertram Smith Fund,Print,Prints & Illustrated Books,1957,Y,60623
Singing Orpheus (Singender Orpheus) from the portfolio Orpheus: 10 Woodcuts on the Verses of Ovid (10 Holzschnitte zu den Versen des Ovid),(194,Woodcut,28.3,15.2,null,Gift of Mr. and Mrs. Kurt Delbanco,Print,Prints & Illustrated Books,1961,Y,60626
Emma L. |  Rivière,(191,Drypoint and etching,17.9,12.9,null,Stephen C. Clark Fund,Print,Prints & Illustrated Books,1951,Y,60659
The Gate (Das Tor) from the portfolio Die Schaffenden |  vol. 1 |  no. 1,(191,Etching and drypoint,27.2,19.9,null,Gift of Mrs. Donald B. Straus,Print,Prints & Illustrated Books,1959,Y,60665
4 Lifestyles (4 Lebensarten),(197,Portfolio of four etching and aquatints,null,null,null,Gift of Thomas Bergen,Print,Prints & Illustrated Books,1979,Y,60673
On the Beach |  II (Three Nudes) [Sur la plage. II (Trois nus)] from the series Four Lithographs (Quatre Lithographies),(Mar,Lithograph,8.9,19,null,Gift of Mrs. Saidie A. May,Print,Prints & Illustrated Books,1934,Y,60676
The Wrestlers (Les Lutteurs) from the series Four Lithographs (Quatre Lithographies),(Mar,Lithograph,10.6,19.5,null,Gift of Mrs. Saidie A. May,Print,Prints & Illustrated Books,1934,Y,60698
SELF PORTRAIT,(196,Lithograph |  printed in color,73,52.8,null,John B. Turner Fund,Print,Prints & Illustrated Books,1967,N,60713
