Title,Year,Medium,Width,Height,Depth,CreditLine,Classification,Department,YearAcquired,CuratorApproved,ObjectID
Prohibition,-200,Pencil and ink on paper,61,48.3,null,Gift of Martin and Rebecca Eisenberg,Drawing,Drawings,2005,Y,100053
Prohibition,-200,Pencil and ink on paper,61,48.3,null,Gift of Martin and Rebecca Eisenberg,Drawing,Drawings,2005,Y,100054
Prohibition,-200,Pencil and ink on paper,61,48.3,null,Gift of Martin and Rebecca Eisenberg,Drawing,Drawings,2005,Y,100055
Prohibition,-200,Pencil and ink on paper,61,48.3,null,Gift of Martin and Rebecca Eisenberg,Drawing,Drawings,2005,Y,100056
Prohibition,-200,Pencil and ink on paper,61,48.3,null,Gift of Martin and Rebecca Eisenberg,Drawing,Drawings,2005,Y,100057
Prohibition,2005,Pencil and ink on paper,61,48.3,null,Gift of Martin and Rebecca Eisenberg,Drawing,Drawings,2005,Y,100058
Hour Rose,1959,Painted wood,27.6,22.9,5.1,Fractional and promised gift of Irving Stenn and purchase,Sculpture,Painting & Sculpture,2005,Y,100069
Los Angeles No. 4 (Barnes),2000,Oil on canvas,182.9,91.4,null,Gift of the artist,Painting,Painting & Sculpture,2005,Y,100075
La Nausée |  plate 1 of 7 |  from the portfolio |  La Réparation,2003,Drypoint,25.4,20.3,null,Gift of the artist,Print,Prints & Illustrated Books,2005,Y,100077
Spiral Woman |  plate 2 of 7 |  from the portfolio |  La Réparation,2003,Drypoint and engraving,29.2,22.9,null,Gift of the artist,Print,Prints & Illustrated Books,2005,Y,100078
La Réparation |  plate 3 of 7 |  from the portfolio |  La Réparation,2003,Engraving and drypoint,27.9,21.6,null,Gift of the artist,Print,Prints & Illustrated Books,2005,Y,100079
M is for Mother |  plate 4 of 7 |  from the portfolio |  La Réparation,2003,Drypoint,25.4,30.5,null,Gift of the artist,Print,Prints & Illustrated Books,2005,Y,100080
The Couple |  plate 5 of 7 |  from the portfolio |  La Réparation,2003,Drypoint |  engraving |  and aquatint,25.4,20.3,null,Gift of the artist,Print,Prints & Illustrated Books,2005,Y,100081
Cocoon |  plate 6 of 7 |  from the portfolio |  La Réparation,2003,Drypoint,30.5,15.2,null,Gift of the artist,Print,Prints & Illustrated Books,2005,Y,100082
The Happy House |  plate 7 of 7 |  from the portfolio |  La Réparation,2003,Engraving and aquatint,21.6,27.9,null,Gift of the artist,Print,Prints & Illustrated Books,2005,Y,100083
Woman I (Corps de dame I),1950,One from a series of six lithographs,29.5,24.1,null,Gift of Mr. and Mrs. Ralph F. Colin,Print,Prints & Illustrated Books,1965,Y,100089
The Brown Sisters |  Cataumet |  Massachusetts,2005,Gelatin silver print,19.5,24.5,null,Gift of the artist,Photograph,Photography,2005,Y,100098
From Hardware to Softform |  project |  Armature model,2002,Acrylic,33,15.2,50.8,Barbara Pine Purchase Fund and gift of Frederieke Taylor,A&D Architectural Model,Architecture & Design,2005,Y,100100
La Cité-Notre-Dame,1937,Etching,36.7,28.8,null,Gift of the Estate of Alberta McPeak,Print,Prints & Illustrated Books,2005,Y,100101
Tropical Breeze,2004,Video (color |  sound) |  wood container |  cardboard boxes |  projector and tissues. 3:20 min.,609.6,243.8,243.8,Fund for the Twenty-First Century,Media,Painting & Sculpture,2005,Y,100119
Door Handles,1954,.1-2: Anodized light metal alloy .3-4: Cast metal,4.8,12.7,8.6,Gift of the designer,A&D Design,Architecture & Design,2005,Y,100122
Untitled (02.08.04),-200,Gouache on paper,57.2,76.8,null,Fund for the Twenty-First Century,Drawing,Drawings,2005,Y,100124
ToFU Lamp,2000,Acrylic and aluminum,29.5,36.5,7.6,Gift of Yamagiwa USA Corporation,A&D Design,Architecture & Design,2005,Y,100126
Cubes in Color on Color,2003,One from a portfolio of thirty linoleum cuts,35.6,35.2,null,Roxanne H. Frank Fund and General Print Fund,Print,Prints & Illustrated Books,2005,N,100128
Cubes in Color on Color,2003,One from a portfolio of thirty linoleum cuts,35.6,35.2,null,Roxanne H. Frank Fund and General Print Fund,Print,Prints & Illustrated Books,2005,N,100129
Cubes in Color on Color,2003,One from a portfolio of thirty linoleum cuts,35.6,35.2,null,Roxanne H. Frank Fund and General Print Fund,Print,Prints & Illustrated Books,2005,N,100130
Cubes in Color on Color,2003,One from a portfolio of thirty linoleum cuts,35.6,35.2,null,Roxanne H. Frank Fund and General Print Fund,Print,Prints & Illustrated Books,2005,N,100131
Cubes in Color on Color,2003,One from a portfolio of thirty linoleum cuts,35.6,35.2,null,Roxanne H. Frank Fund and General Print Fund,Print,Prints & Illustrated Books,2005,N,100132
Cubes in Color on Color,2003,One from a portfolio of thirty linoleum cuts,35.6,35.2,null,Roxanne H. Frank Fund and General Print Fund,Print,Prints & Illustrated Books,2005,N,100133
Cubes in Color on Color,2003,One from a portfolio of thirty linoleum cuts,35.6,35.2,null,Roxanne H. Frank Fund and General Print Fund,Print,Prints & Illustrated Books,2005,N,100134
Cubes in Color on Color,2003,One from a portfolio of thirty linoleum cuts,35.6,35.2,null,Roxanne H. Frank Fund and General Print Fund,Print,Prints & Illustrated Books,2005,N,100135
Cubes in Color on Color,2003,One from a portfolio of thirty linoleum cuts,35.6,35.2,null,Roxanne H. Frank Fund and General Print Fund,Print,Prints & Illustrated Books,2005,N,100136
Cubes in Color on Color,2003,One from a portfolio of thirty linoleum cuts,35.6,35.2,null,Roxanne H. Frank Fund and General Print Fund,Print,Prints & Illustrated Books,2005,N,100137
Cubes in Color on Color,2003,One from a portfolio of thirty linoleum cuts,35.6,35.2,null,Roxanne H. Frank Fund and General Print Fund,Print,Prints & Illustrated Books,2005,N,100138
Cubes in Color on Color,2003,One from a portfolio of thirty linoleum cuts,35.6,35.2,null,Roxanne H. Frank Fund and General Print Fund,Print,Prints & Illustrated Books,2005,N,100139
Cubes in Color on Color,2003,One from a portfolio of thirty linoleum cuts,35.6,35.2,null,Roxanne H. Frank Fund and General Print Fund,Print,Prints & Illustrated Books,2005,N,100140
Cubes in Color on Color,2003,One from a portfolio of thirty linoleum cuts,35.6,35.2,null,Roxanne H. Frank Fund and General Print Fund,Print,Prints & Illustrated Books,2005,N,100141
Cubes in Color on Color,2003,One from a portfolio of thirty linoleum cuts,35.6,35.2,null,Roxanne H. Frank Fund and General Print Fund,Print,Prints & Illustrated Books,2005,N,100142
Cubes in Color on Color,2003,One from a portfolio of thirty linoleum cuts,35.6,35.2,null,Roxanne H. Frank Fund and General Print Fund,Print,Prints & Illustrated Books,2005,N,100143
Cubes in Color on Color,2003,One from a portfolio of thirty linoleum cuts,35.6,35.2,null,Roxanne H. Frank Fund and General Print Fund,Print,Prints & Illustrated Books,2005,N,100144
Cubes in Color on Color,2003,One from a portfolio of thirty linoleum cuts,35.6,35.2,null,Roxanne H. Frank Fund and General Print Fund,Print,Prints & Illustrated Books,2005,N,100145
Cubes in Color on Color,2003,One from a portfolio of thirty linoleum cuts,35.6,35.2,null,Roxanne H. Frank Fund and General Print Fund,Print,Prints & Illustrated Books,2005,N,100146
Cubes in Color on Color,2003,One from a portfolio of thirty linoleum cuts,35.6,35.2,null,Roxanne H. Frank Fund and General Print Fund,Print,Prints & Illustrated Books,2005,N,100147
Cubes in Color on Color,2003,One from a portfolio of thirty linoleum cuts,35.6,35.2,null,Roxanne H. Frank Fund and General Print Fund,Print,Prints & Illustrated Books,2005,N,100148
Cubes in Color on Color,2003,One from a portfolio of thirty linoleum cuts,35.6,35.2,null,Roxanne H. Frank Fund and General Print Fund,Print,Prints & Illustrated Books,2005,N,100149
Cubes in Color on Color,2003,One from a portfolio of thirty linoleum cuts,35.6,35.2,null,Roxanne H. Frank Fund and General Print Fund,Print,Prints & Illustrated Books,2005,N,100150
Cubes in Color on Color,2003,One from a portfolio of thirty linoleum cuts,35.6,35.2,null,Roxanne H. Frank Fund and General Print Fund,Print,Prints & Illustrated Books,2005,N,100151
Cubes in Color on Color,2003,One from a portfolio of thirty linoleum cuts,35.6,35.2,null,Roxanne H. Frank Fund and General Print Fund,Print,Prints & Illustrated Books,2005,N,100152
Cubes in Color on Color,2003,One from a portfolio of thirty linoleum cuts,35.6,35.2,null,Roxanne H. Frank Fund and General Print Fund,Print,Prints & Illustrated Books,2005,N,100153
Cubes in Color on Color,2003,One from a portfolio of thirty linoleum cuts,35.6,35.2,null,Roxanne H. Frank Fund and General Print Fund,Print,Prints & Illustrated Books,2005,N,100154
Cubes in Color on Color,2003,One from a portfolio of thirty linoleum cuts,35.6,35.2,null,Roxanne H. Frank Fund and General Print Fund,Print,Prints & Illustrated Books,2005,N,100155
Cubes in Color on Color,2003,One from a portfolio of thirty linoleum cuts,35.6,35.2,null,Roxanne H. Frank Fund and General Print Fund,Print,Prints & Illustrated Books,2005,N,100156
Cubes in Color on Color,2003,One from a portfolio of thirty linoleum cuts,35.6,35.2,null,Roxanne H. Frank Fund and General Print Fund,Print,Prints & Illustrated Books,2005,N,100157
Ribbon® Bicycle Rack,1979,Stainless steel,89.5,158.4,6,Gift of the designer,A&D Design,Architecture & Design,2005,Y,100160
Façade Panels from Best Products Showroom |  Langhorne |  Pennsylvania,1973,Porcelain-enameled steel,233.7,598.8,4.4,Gift of Carlin McLaughlin |  Nalin Patel |  Rajnikant Shah and Gregory Zollner,A&D Architectural Model,Architecture & Design,2005,Y,100161
Bague Table Lamp,2003,Silicon-coated metal mesh and acrylic,38.1,29.2,17.1,Gift of the manufacturer,A&D Design,Architecture & Design,2005,Y,100168
Lapeyrouse Wall,2005,Etching on chine collé,45.7,56.5,null,Gift of Anna Marie and Robert F. Shapiro,Print,Prints & Illustrated Books,2005,Y,100169
John Lewis,1961,Pigmented inkjet print,38.2,37.6,null,Gift of Lee and Maria Friedlander |  in memory of Joyce Wein,Photograph,Photography,2005,Y,100170
Portrait of Georgia Engelhard,1922,Gelatin silver print,23.7,20.2,null,Gift of Carla Emil and Richard Silverstein,Photograph,Photography,2005,Y,100171
Américan Crescent Cycles,1900,Lithograph,167.6,137.2,null,Promised and fractional gift of James Ford,A&D Graphic Design,Architecture & Design,2006,Y,100175
