Title,Year,Medium,Width,Height,Depth,CreditLine,Classification,Department,YearAcquired,CuratorApproved,ObjectID
ESCALIER. 11 QUAI D'ANJOU,1903,Albumen silver print,null,null,null,Abbott-Levy Collection. Partial gift of Shirley C. Burden,Photograph,Photography,1968,N,40001
Escalier |  11 Quai d'Anjou,1903,Albumen silver print,null,null,null,Abbott-Levy Collection. Partial gift of Shirley C. Burden,Photograph,Photography,1968,N,40002
VERSAILLES -- VASE,1906,Albumen silver print,null,null,null,Abbott-Levy Collection. Partial gift of Shirley C. Burden,Photograph,Photography,1968,N,40003
97 RUE DU BAC,1903,Albumen silver print,null,null,null,Abbott-Levy Collection. Partial gift of Shirley C. Burden,Photograph,Photography,1968,N,40004
97 RUE DU BAC,1903,Albumen silver print,null,null,null,Abbott-Levy Collection. Partial gift of Shirley C. Burden,Photograph,Photography,1968,N,40005
ESCALIER. 20 RUE CASSETTE,1903,Albumen silver print,null,null,null,Abbott-Levy Collection. Partial gift of Shirley C. Burden,Photograph,Photography,1968,N,40006
HÔTEL D'IMBERCOURT. 15 RUE DE L'UNIVERSITÉ,1909,Albumen silver print,null,null,null,Abbott-Levy Collection. Partial gift of Shirley C. Burden,Photograph,Photography,1968,N,40007
HÔTEL DE CONFLANS. RUE DE L'UNIVERSITÉ 24,1909,Albumen silver print,null,null,null,Abbott-Levy Collection. Partial gift of Shirley C. Burden,Photograph,Photography,1968,N,40008
HÔTEL DU PRÉSIDENT DENIS TALON. 16 RUE ST. GUILLAUME,1909,Albumen silver print,null,null,null,Abbott-Levy Collection. Partial gift of Shirley C. Burden,Photograph,Photography,1968,N,40009
Heurtoir. St. Étienne du Mont,1909,Albumen silver print,21.7,17.8,null,Abbott-Levy Collection. Partial gift of Shirley C. Burden,Photograph,Photography,1968,Y,40010
HÔTEL LAMBERT. 2 RUE ST.-LOUIS-EN-L'ÎLE,1909,Albumen silver print,null,null,null,Abbott-Levy Collection. Partial gift of Shirley C. Burden,Photograph,Photography,1968,N,40011
Door knocker |  43 rue Sainte-Anne,1909,Albumen silver print,22,18,null,Abbott-Levy Collection. Partial gift of Shirley C. Burden,Photograph,Photography,1968,Y,40012
Hôtel de Cheverny |  11 rue Saint-Florentin,1911,Albumen silver print,null,null,null,Abbott-Levy Collection. Partial gift of Shirley C. Burden,Photograph,Photography,1968,N,40013
VERSAILLES -- LE PARC,1906,Albumen silver print,null,null,null,Abbott-Levy Collection. Partial gift of Shirley C. Burden,Photograph,Photography,1968,N,40014
HEURTOIR. 20 RUE DE VARENNE,1911,Albumen silver print,null,null,null,Abbott-Levy Collection. Partial gift of Shirley C. Burden,Photograph,Photography,1968,N,40015
91 |  rue de Turenne,1911,Albumen silver print,22.5,18.3,null,Abbott-Levy Collection. Partial gift of Shirley C. Burden,Photograph,Photography,1968,Y,40016
HÔTEL D'EPINAY. 37 RUE ST.-ROCH,1912,Albumen silver print,null,null,null,Abbott-Levy Collection. Partial gift of Shirley C. Burden,Photograph,Photography,1968,N,40017
HÔTEL MICHEL SIMON. 70 RUE DES ARCHIVES,1913,Albumen silver print,null,null,null,Abbott-Levy Collection. Partial gift of Shirley C. Burden,Photograph,Photography,1968,N,40018
HÔTEL MICHEL SIMON. 70 RUE DES ARCHIVES,1913,Albumen silver print,null,null,null,Abbott-Levy Collection. Partial gift of Shirley C. Burden,Photograph,Photography,1968,N,40019
14 RUE DU CHERCHE MIDI,1905,Albumen silver print,null,null,null,Abbott-Levy Collection. Partial gift of Shirley C. Burden,Photograph,Photography,1968,N,40020
