Title,Year,Medium,Minutes,CreditLine,Classification,Department,YearAcquired,CuratorApproved,ObjectID
Interregna,1999,Video (color |  sound),10,Fractional and promised gift of David Teiger,Video,Media and Performance Art,error,Y,88840
The Text of Light,1974,16mm film (color |  silent),68,Jerome Foundation Purchase Fund,Film,Film,error,Y,89260
Rhythmus 21,1921,35mm film (black and white |  silent),3,Film in the permanent collection of The Museum of Modern Art |  New York,Film,Film,error,Y,91477
Le Retour à la raison,1923,35mm film (black and white |  silent),2,Film in the permanent collection of The Museum of Modern Art |  New York,Film,Film,error,Y,91481
Ballet mécanique,1924,35mm film (black and white |  silent),12,Film in the permanent collection of The Museum of Modern Art |  New York,Film,Film,error,Y,91484
Entr'acte,1924,,17,Film in the permanent collection of The Museum of Modern Art |  New York.,Film,Film,error,Y,91485
Anemic Cinema,1926,35mm film (black and white |  silent),7,Film in the permanent collection of The Museum of Modern Art |  New York,Film,Film,error,N,91486
No. 4 (Bottoms),1966,16mm film transferred to DVD.,80,Yoko Ono |  and the Circulating Film and Video Library |  The Museum of Modern Art,Film,Film,error,N,99926
My birds...trash...the future,2004,Two-channel video (color |  sound),17,Fund for the Twenty-First Century,Installation,Media and Performance Art,error,Y,100110
Between Darkness and Light (After William Blake),1997,Two-channel video (color and black and white |  sound) |  dual vision screen,error,Gift of Celeste and Adam Bartos |  Drue Heinz |  Marlene Hess |  Michael Ovitz |  and Sid Bass,Installation,Media and Performance Art,2005,Y,102420
First Day of Spring,2005,16mm film (color |  sound),7,Fund for the Twenty-First Century,Installation,Media and Performance Art,error,Y,102889
Burn,2002,Video (color |  sound),10,Fund for the Twenty-First Century,Installation,Media and Performance Art,error,Y,103080
A Bill of Divorcement,1932,35mm film (black and white |  sound),74,Gift of ABC Pictures International.,Film,Film,error,Y,107391
Serene Velocity,1970,16mm film (color |  silent),23,Gift of the Artist. Preserved with funding from the National Film Preservation Foundation,Film,Film,error,Y,107462
Side/Walk/Shuttle,1991,35mm film (color |  sound),41,Gift of the Artist,Film,Film,error,Y,107463
Measures of Distance,1988,3/4 tape |  sound |  color,15,Acquired from the Artist and Video Data Bank,Film,Film,error,N,107508
Witch Madness,2000,35mm film (color |  sound),9,Acquired from the Artist,Film,Film,error,Y,107569
The General,1927,35mm film (black and white and color |  silent),80,,Film,Film,error,Y,107595
The Love Parade,1929,35mm film (black and white |  sound),109,Acquired from Paramount Pictures,Film,Film,error,Y,107626
