WarNum,WarName,WarType,ccode,StateName,Side,StartYear,EndYear,Initiator,Outcome,WhereFought,BatDeath
300,Allied Bombardment of Algiers,3,,Algeria,2,1816,1816,1,1,6,129
301,Ottoman-Wahhabi,3,,Saudi Wahhabis,2,1816,1818,1,1,6,13500
302,Liberation of Chile,2,,San Martin revolutionaries,2,1817,1818,2,2,1,1700
303,First Bolivar Expedition,2,,New Granada,2,1817,1819,1,2,1,3000
304,Mexican Independence,2,,Mina Expedition,2,1817,1818,2,1,1,1000
305,British-Kandyan,2,,Kandyan rebels,2,1817,1818,2,1,7,1000
306,British-Maratha,2,,Marathas,2,1817,1818,2,1,7,2800
307,Ottoman Conquest of Sudan,3,,Sudan states,2,1820,1821,1,1,4,4000
308,Second Bolivar Expedition,2,,New Granada,2,1821,1822,2,2,1,1000
309,Turco-Persian,3,,Persia,2,1821,1822,2,6,6,1000
310,First British-Burmese,3,,Burma,2,1823,1826,2,1,7,15000
311,First British-Ashanti,3,,Ashanti-Ghana,2,1824,1826,2,1,4,1400
312,Liberation of Peru,2,,Latin American revolutionaries,2,1824,1825,2,2,1,2000
313,Dutch - Javanese,2,,Javanese rebels,2,1825,1830,2,1,7,15000
314,British-Bharatpuran,2,,Bharatpuran rebels,2,1825,1826,2,1,7,400
315,Brazil-Argentine,3,,Argentina,2,1826,1828,2,2,1,4000
316,Russo-Persian,3,,Persia,2,1826,1828,2,1,6,5000
317,Spanish Reconquest of Mexico,3,,Mexico,2,1829,1829,1,2,1,1700
319,French Occupation of Algiers,3,,Algeria,2,1830,1830,1,1,6,600
320,Ottoman-Bilmez-Asiri War,3,,Bilmez-Asiri,2,1832,1837,2,1,6,
321,First British-Zulu,3,,Zulu tribe,2,1838,1838,1,2,4,800
322,First British-Afghan,3,,Afghanistan,2,1839,1842,1,2,7,20000
323,First Opium,3,,China,2,1839,1842,1,1,7,450
324,First Franco-Algerian,3,,Algerian forces,2,1839,1847,2,1,6,15000
325,Peru-Bolivian,3,,Bolivia,2,1841,1841,2,2,1,600
326,British-Sind,3,,Sind,2,1843,1843,1,1,7,200
327,Uruguay War,3,,Uruguay,2,1843,1851,1,4,1,1500
327,Uruguay War,3,200,United Kingdom,2,1845,1849,2,4,1,400
327,Uruguay War,3,220,France,2,1845,1849,2,4,1,600
329,Gwalior,3,,Gwalior,2,1843,1843,1,1,7,106
330,Franco-Moroccan,3,,Morocco,2,1844,1844,1,1,6,200
331,First British-Sikh,3,,Sikhs,2,1845,1846,2,1,7,1500
332,Cracow Revolt,3,,Cracow,2,1846,1846,2,1,2,1000
333,First British-Xhosa,3,,Khosa,2,1846,1847,1,1,4,1000
334,First Dutch-Bali,3,,Bali,2,1848,1848,1,6,7,300
335,Second British-Sikh,3,,Sikhs,2,1848,1849,1,1,7,1500
336,Chinese Pirates,3,,Chinese Pirates,2,1849,1849,1,1,7,0
337,Second British-Xhosa,2,,Xhosa,2,1850,1852,1,1,4,1400
339,Second British-Burmese,3,,Burma,2,1852,1852,1,1,7,400
340,French-Tukulor War,3,,Tukulor,2,1854,1857,2,6,4,100
341,British-Santal,2,,Santal,2,1855,1856,2,1,7,
342,Hodeida Seige,2,,Beni Aseer tribe,2,1856,1856,2,6,6,1700
343,Second Opium,3,,China,2,1856,1860,1,1,7,200
345,French Conquest of Kabylia,2,,Kabylia,2,1856,1857,1,1,4,1000
