WarNum,WarName,WarType,ccode,StateName,Side,StartYear,EndYear,Initiator,Outcome,WhereFought,BatDeath
300,Allied Bombardment of Algiers,3,210,Netherlands,1,1816,1816,1,1,6,13
300,Allied Bombardment of Algiers,3,200,United Kingdom,1,1816,1816,1,1,6,129
301,Ottoman-Wahhabi,3,640,Ottoman Empire,1,1816,1818,1,1,6,13500
302,Liberation of Chile,2,230,Spain,1,1817,1818,2,2,1,1700
303,First Bolivar Expedition,2,230,Spain,1,1817,1819,1,2,1,3000
304,Mexican Independence,2,230,Spain,1,1817,1818,2,1,1,1000
305,British-Kandyan,2,200,United Kingdom,1,1817,1818,2,1,7,1000
306,British-Maratha,2,200,United Kingdom,1,1817,1818,2,1,7,2800
307,Ottoman Conquest of Sudan,3,640,Ottoman Empire,1,1820,1821,1,1,4,4000
308,Second Bolivar Expedition,2,230,Spain,1,1821,1822,2,2,1,1000
309,Turco-Persian,3,640,Ottoman Empire,1,1821,1822,2,6,6,1000
310,First British-Burmese,3,200,United Kingdom,1,1823,1826,2,1,7,15000
311,First British-Ashanti,3,200,United Kingdom,1,1824,1826,2,1,4,1400
312,Liberation of Peru,2,230,Spain,1,1824,1825,2,2,1,2000
313,Dutch - Javanese,2,210,Netherlands,1,1825,1830,2,1,7,15000
314,British-Bharatpuran,2,200,United Kingdom,1,1825,1826,2,1,7,400
315,Brazil-Argentine,3,140,Brazil,1,1826,1828,2,2,1,4000
316,Russo-Persian,3,365,Russia,1,1826,1828,2,1,6,5000
317,Spanish Reconquest of Mexico,3,230,Spain,1,1829,1829,1,2,1,1700
319,French Occupation of Algiers,3,220,France,1,1830,1830,1,1,6,600
320,Ottoman-Bilmez-Asiri War,3,640,Ottoman Empire,1,1832,1837,2,1,6,
321,First British-Zulu,3,200,United Kingdom,1,1838,1838,1,2,4,800
322,First British-Afghan,3,200,United Kingdom,1,1839,1842,1,2,7,20000
323,First Opium,3,200,United Kingdom,1,1839,1842,1,1,7,450
324,First Franco-Algerian,3,220,France,1,1839,1847,2,1,6,15000
325,Peru-Bolivian,3,135,Peru,1,1841,1841,2,2,1,600
326,British-Sind,3,200,United Kingdom,1,1843,1843,1,1,7,200
327,Uruguay War,3,160,Argentina,1,1843,1851,1,4,1,1500
329,Gwalior,3,200,United Kingdom,1,1843,1843,1,1,7,106
330,Franco-Moroccan,3,220,France,1,1844,1844,1,1,6,200
331,First British-Sikh,3,200,United Kingdom,1,1845,1846,2,1,7,1500
332,Cracow Revolt,3,365,Russia,1,1846,1846,2,1,2,
332,Cracow Revolt,3,255,Prussia,1,1846,1846,2,1,2,
332,Cracow Revolt,3,300,Austria,1,1846,1846,2,1,2,1000
333,First British-Xhosa,3,200,United Kingdom,1,1846,1847,1,1,4,1000
334,First Dutch-Bali,3,210,Netherlands,1,1848,1848,1,6,7,300
335,Second British-Sikh,3,200,United Kingdom,1,1848,1849,1,1,7,1500
336,Chinese Pirates,3,200,United Kingdom,1,1849,1849,1,1,7,0
337,Second British-Xhosa,2,200,United Kingdom,1,1850,1852,1,1,4,1400
339,Second British-Burmese,3,200,United Kingdom,1,1852,1852,1,1,7,400
340,French-Tukulor War,3,220,France,1,1854,1857,2,6,4,100
341,British-Santal,2,200,United Kingdom,1,1855,1856,2,1,7,
342,Hodeida Seige,2,640,Ottoman Empire,1,1856,1856,2,6,6,1700
343,Second Opium,3,200,United Kingdom,1,1856,1860,1,1,7,200
343,Second Opium,3,220,France,1,1856,1860,1,1,7,100
345,French Conquest of Kabylia,2,220,France,1,1856,1857,1,1,4,1000
347,Indian Mutiny,2,200,United Kingdom,1,1857,1859,2,1,7,11000
349,First Franco-Vietnamese,3,220,France,1,1858,1862,1,1,7,1500
350,Netherlands-Bone,3,210,Netherlands,1,1859,1860,1,1,7,500
351,Argentine-Buenos Aires,3,160,Argentina,1,1859,1859,1,1,1,500
352,Garibaldi Expedition,3,329,Two Sicilies,1,1860,1860,2,4,2,4500
353,Spanish-Santo Dominican,2,230,Spain,1,1863,1865,1,2,1,28000
355,British-Maori,2,200,United Kingdom,1,1863,1866,1,1,9,700
356,Shimonoseki War,3,2,United States,1,1863,1864,2,1,7,5
356,Shimonoseki War,3,200,United Kingdom,1,1864,1864,2,1,7,13
356,Shimonoseki War,3,210,Netherlands,1,1864,1864,2,1,7,2
356,Shimonoseki War,3,220,France,1,1863,1864,2,1,7,6
357,British Umbeyla Campaign,3,200,United Kingdom,1,1863,1863,1,1,7,900
359,Russian-Kokand,3,365,Russia,1,1864,1865,1,1,7,120
360,British-Bhutanese,3,200,United Kingdom,1,1865,1865,1,1,7,100
361,Russian-Bukharan,3,365,Russia,1,1866,1866,1,1,7,100
362,British-Ethiopian,3,200,United Kingdom,1,1867,1868,1,1,4,400
363,First Spanish-Cuban,2,230,Spain,1,1868,1878,2,1,1,100000
364,Attack on Bahr el-Ghazal,3,651,Egypt,1,1869,1870,1,2,6,
365,Ottoman Conquest of Arabia,3,640,Ottoman Empire,1,1870,1872,2,1,6,4000
365,Ottoman Conquest of Arabia,3,640,Ottoman Empire,1,1870,1872,2,1,6,4000
365,Ottoman Conquest of Arabia,3,640,Ottoman Empire,1,1870,1872,2,1,6,4000
366,Second Franco-Algerian,2,220,France,1,1871,1872,2,1,6,2686
367,Second British-Ashanti,3,200,United Kingdom,1,1873,1874,2,1,4,100
