WarNum,WarName,WarType,ccode,StateName,Side,StartYear,EndYear,Initiator,Outcome,WhereFought,BatDeath
500,First Caucasus,5,,Georgians,2,1818,1822,,1,2,11000
500,First Caucasus,5,,Dhagestania,2,1818,1822,,1,2,11000
500,First Caucasus,5,,Chechens,2,1818,1822,,1,2,11000
501,Sidon-Damascus,6,,Damascus,2,1820,1821,,2,6,
501,Sidon-Damascus,6,,Aleppo,2,1820,1821,,2,6,
502,First Two Sicilies,4,,Liberals,2,1820,1821,,1,2,
503,Spanish Royalists,4,,Royalists,2,1821,1823,,4,2,
505,Sardinian Revolt,4,,Carbonari,2,1821,1821,,1,2,
506,Greek Independence,5,,Greeks,2,1821,1828,,4,2,9000
506,Greek Independence,5,200,United Kingdom,2,1827,1827,,4,2,
506,Greek Independence,5,220,France,2,1827,1827,,4,2,
506,Greek Independence,5,365,Russia,2,1827,1828,,4,2,
507,Egypt-Mehdi,6,,Mehdi army,2,1824,1824,,1,6,
508,Janissari Revolt,4,,Janissaries,2,1826,1826,,1,6,6300
510,Miguelite War,4,200,United Kingdom,2,1831,1834,,2,2,
510,Miguelite War,4,,Constitutionalists,2,1828,1834,,2,2,20000
511,First Murid War,5,,Ghazi Muhammad,2,1830,1832,,1,2,1500
512,First Albanian Revolt,5,,Albanians,2,1830,1831,,1,2,15000
513,First French Insurrection,4,,Liberals,2,1830,1830,,2,2,2200
515,Belgian Independence,5,,Belgians,2,1830,1830,,2,2,1100
516,Egyptian Taka Expedition,6,,Hadendowa,2,1831,1832,,2,6,
517,First Polish,5,,Poles,2,1831,1831,,1,2,35000
518,First Syrian,5,,Egyptians,2,1831,1832,,2,6,12000
518,First Syrian,5,,Bashir,2,1831,1832,,2,6,12000
520,First Mexican,4,,Liberals,2,1832,1832,,2,1,
521,Egypt- Palestinian Anti-Conscription Revolt,6,,Egypt,2,1834,1834,,2,6,2000
522,First Carlist War,4,,Carlists,2,1834,1840,,1,2,125000
523,Second Murid,5,,Shamil,2,1834,1834,,7,2,
525,Cabanos Revolt,5,,Cabanos,2,1835,1837,,1,1,
526,Farroupilha War,5,,Farrapos,2,1835,1845,,1,1,
527,Texan,5,,Texans,2,1835,1836,,2,1,2200
528,First Bosnian,5,,Bosnians,2,1836,1837,,1,2,
530,Third Murid,5,,Shamil,2,1836,1852,,1,2,
531,Sabinada Rebellion,5,,Bahian Sabinada,2,1837,1838,,1,1,1800
532,Druze Rebellion,6,,Druze,2,1837,1838,,1,6,
532,Druze Rebellion,6,,Druze,2,1837,1838,,1,6,
533,"Second Syrian,Phase 1",5,,Egypt,2,1839,1839,,2,6,3000
