WarName,WarType,ccode1,Side1,ccode2,Side2,StartYear,EndYear,Initiator,Outcome,WhereFought,BatDeath,WarNum
First Caucasus,5,365,Russia,,Georgians,1818,1822,,1,2,11000,500
First Caucasus,5,365,Russia,,Dhagestania,1818,1822,,1,2,11000,500
First Caucasus,5,365,Russia,,Chechens,1818,1822,,1,2,11000,500
Sidon-Damascus,6,,Sidon,,Damascus,1820,1821,,2,6,,501
Sidon-Damascus,6,,Sidon,,Aleppo,1820,1821,,2,6,,501
First Two Sicilies,4,300,Austria,,,1821,1821,,1,2,,502
First Two Sicilies,4,329,Two Sicilies,,Liberals,1820,1821,,1,2,,502
Spanish Royalists,4,230,Spain,,Royalists,1821,1823,,4,2,,503
Sardinian Revolt,4,300,Austria,,,1821,1821,,1,2,,505
Sardinian Revolt,4,325,Sardinia,,Carbonari,1821,1821,,1,2,,505
Greek Independence,5,640,Ottoman Empire,,Greeks,1821,1828,,4,2,9000,506
Greek Independence,5,,,200,United Kingdom,1827,1827,,4,2,,506
Greek Independence,5,,,220,France,1827,1827,,4,2,,506
Greek Independence,5,,,365,Russia,1827,1828,,4,2,,506
Egypt-Mehdi,6,,Egypt,,Mehdi army,1824,1824,,1,6,,507
Janissari Revolt,4,640,Ottoman Empire,,Janissaries,1826,1826,,1,6,6300,508
Miguelite War,4,,,200,United Kingdom,1831,1834,,2,2,,510
Miguelite War,4,235,Portugal,,Constitutionalists,1828,1834,,2,2,20000,510
First Murid War,5,365,Russia,,Ghazi Muhammad,1830,1832,,1,2,1500,511
First Albanian Revolt,5,640,Ottoman Empire,,Albanians,1830,1831,,1,2,15000,512
First French Insurrection,4,220,France,,Liberals,1830,1830,,2,2,2200,513
Belgian Independence,5,210,Netherlands,,Belgians,1830,1830,,2,2,1100,515
Egyptian Taka Expedition,6,,Egypt,,Hadendowa,1831,1832,,2,6,,516
First Polish,5,365,Russia,,Poles,1831,1831,,1,2,35000,517
First Syrian,5,640,Ottoman Empire,,Egyptians,1831,1832,,2,6,12000,518
First Syrian,5,640,Ottoman Empire,,Bashir,1831,1832,,2,6,12000,518
First Mexican,4,70,Mexico,,Liberals,1832,1832,,2,1,,520
Egypt- Palestinian Anti-Conscription Revolt,6,,Palestinians,,Egypt,1834,1834,,2,6,2000,521
First Carlist War,4,235,Portugal,,,1835,1836,,1,2,,522
First Carlist War,4,230,Spain,,Carlists,1834,1840,,1,2,125000,522
First Carlist War,4,220,France,,,1835,1839,,1,2,,522
First Carlist War,4,200,United Kingdom,,,1835,1837,,1,2,,522
Second Murid,5,365,Russia,,Shamil,1834,1834,,7,2,,523
Cabanos Revolt,5,140,Brazil,,Cabanos,1835,1837,,1,1,,525
Farroupilha War,5,140,Brazil,,Farrapos,1835,1845,,1,1,,526
Texan,5,70,Mexico,,Texans,1835,1836,,2,1,2200,527
First Bosnian,5,640,Ottoman Empire,,Bosnians,1836,1837,,1,2,,528
Third Murid,5,365,Russia,,Shamil,1836,1852,,1,2,,530
Sabinada Rebellion,5,140,Brazil,,Bahian Sabinada,1837,1838,,1,1,1800,531
Druze Rebellion,6,,Egypt,,Druze,1837,1838,,1,6,,532
Druze Rebellion,6,,Bashir,,Druze,1837,1838,,1,6,,532
"Second Syrian,Phase 1",5,640,Ottoman Empire,,Egypt,1839,1839,,2,6,3000
Lebanon Insurgency,6,,Lebanese Maronites,,Amir Bashir,1840,1840,,2,6,4500,535
Lebanon Insurgency,6,,Lebanese Maronites,,Egypt,1840,1840,,2,6,4500,535
First Colombian,4,100,Colombia,,Progressives,1840,1842,,2,1,,536
"Second Syrian,Phase 2",5,200,United Kingdom,,,1840,1840,,1,6,6
"Second Syrian,Phase 2",5,640,Ottoman Empire,,Egypt,1840,1840,,1,6,27000
"First Argentina War,Phase 2",4,160,Argentina,,Unitarios,1841,1842,,1,1,3300
Second Bosnian,5,640,Ottoman Empire,,Bosnians,1841,1841,,1,2,,540
Triangular Revolt,4,70,Mexico,,Military,1841,1841,,2,1,,541
Karbala Revolt,5,640,Ottoman Empire,,Karbala,1842,1843,,1,6,4600,542
First Maronite-Druze,7,,Maronites,,Druze,1845,1845,,2,6,3000,543
"Mayan Caste War,Phase 1",6,,Mayans,,Yucutan,1847,1848,,4,1,
Second Carlist,4,230,Spain,,Carlists,1847,1849,,1,2,10000,546
Second Two Sicilies,4,329,Two Sicilies,,Liberals,1848,1848,,1,2,,547
First Venezuelan,4,101,Venezuela,,Paez led Conservatives,1848,1849,,1,1,,548
Viennese Revolt,4,300,Austria,,Viennese,1848,1848,,1,2,3249,550
Milan Five Day Revolt,5,300,Austria,,Milan,1848,1848,,4,2,1030,551
Second French Insurrection,4,220,France,,Radicals,1848,1848,,1,2,2800,552
"Mayan Caste War,Phase 2",5,70,Mexico,,Yucatan Maya,1848,1855,,1,1,
Hungarian,5,300,Austria,,Hungary,1848,1849,,1,2,66000,554
Hungarian,5,365,Russia,,,1849,1849,,1,2,,554
First Chilean,4,155,Chile,,Liberals,1851,1851,,1,1,4000,555
