WarNum,WarName,WarType,ccode,StateName,Side,StartYear,EndYear,Initiator,Outcome,WhereFought,BatDeath
1500,First Maori Tribal War,8,,Te Rauparaha's Ngati Toa,1,1818,1824,1,1,9,7500
1501,Shaka Zulu-Bantu War,8,,Shaka Zulu,1,1819,1828,1,1,4,60000
1502,Burma-Assam War,8,,Burma,1,1819,1822,1,1,7,
1503,Buenos Aires War,8,,Buenos Aires,1,1820,1820,2,2,1,
1505,Second Maori Tribal War,8,,Hongi Hika's Nga Phuhi,1,1821,1823,1,1,9,2500
1506,Siam-Kedah War,8,,Thailand,1,1821,1821,1,1,7,
1508,China-Kashgaria War,8,,China,1,1825,1828,1,1,7,
1509,Mexico-Yaqui Indian War,8,,Mexico,1,1825,1827,1,3,1,3000
1510,Central American Confederation War,8,,Conservative Confederation,1,1826,1829,2,2,1,3300
1511,Viang Chan- Siamese War,8,,Viang Chan,1,1826,1827,1,2,7,31000
1512,Peru-Gran Colombia War,8,,Peru,1,1828,1829,1,2,1,4000
1513,Argentine War for Unity,8,,Unitarians,1,1829,1831,1,2,1,
1514,Sayyid Said War,8,,Sayyid Said,1,1829,1830,1,1,4,1000
1515,China-Kokand War,8,,China,1,1830,1831,1,1,7,
1516,Siam-Cambodia-Vietnam War,8,,Thailand,1,1831,1834,1,2,7,
1518,Argentina-Ranqueles Indian War,8,,Argentina,1,1833,1834,1,1,1,
1520,Bolivia Conquest of Peru,8,,Bolivia,1,1835,1836,1,1,1,
1521,Boer-Matabele War,8,,Boer Trekkers,1,1836,1837,2,1,4,3350
1523,Dissolution of the Bolivia-Peru Confederation,8,,Chile,1,1837,1839,1,1,1,2900
1524,Persian Siege of Heart,8,,Persia,1,1837,1838,1,2,7,
1525,Boer-Zulu War,8,,Boer Trekkers,1,1838,1838,2,1,4,3700
1527,Anti-Rosas War,8,,Anti-Rosas Allies,1,1839,1840,1,4,1,3000
1528,Dissolution of  the Central American Confederation,8,,Conservatives,1,1839,1840,1,1,1,3700
1530,Dogra-Tibet War,8,,Jammu,1,1841,1842,1,3,7,
1531,First Haiti-Santo Domingo War,8,,Santo Domingo,1,1844,1845,1,6,1,
1533,War of  Seven Khojas,8,,Kokand,1,1847,1848,1,2,7,
1534,Taiping Rebellion Phase 1,8,,Taiping rebels,1,1850,1860,1,4,7,
1535,First Tukulor War,8,,al-Hajj Umar's Tukulor army,1,1852,1854,1,1,4,10000
1536,Kashmir-Dards of Chilas War,8,,Kashmir,1,1852,1852,2,2,7,2000
1537,Han-Miao War Phase 1,8,,Han,1,1854,1860,2,4,7,
1538,Second Haiti-Santo Domingo War,8,,Haiti,1,1855,1856,1,2,1,
1539,Han-Nien War,8,,Han,1,1855,1858,2,6,7,
1540,Filibuster War,8,,Nicaragua,1,1856,1857,2,2,1,7700
1541,Han-Panthay War Phase 1,8,,Han,1,1856,1860,2,4,7,
1542,First Zulu Internecine War,8,,Mbuyazi faction,1,1856,1856,1,2,4,
1543,Kucha and Khoja Uprising,8,,Kucha,1,1857,1857,1,2,7,
1544,First Boer-Basuto War,8,,Basuto,1,1858,1858,2,6,4,
1545,First Ethiopian War,8,,Ethiopia,1,1858,1861,2,1,4,2000
1546,Second Tukulor War,8,,Umar Tal,1,1860,1862,1,1,4,
1548,Transvaal War,8,,Regional governments,1,1862,1864,1,2,4,6000
1550,Central American War,8,,Guatemala,1,1863,1863,1,1,1,
1551,First Australian Aboriginal War,8,,Aborigines,1,1864,1865,2,7,9,1000
1552,Second Boer-Basuto War,8,,Orange Free State,1,1865,1866,1,1,4,1200
1553,Second Ethiopian War,8,,Tigray,1,1868,1872,2,1,4,35000
1554,Uruguay Colorados-Blancos War,8,,Blancos,1,1870,1872,1,2,1,3000
1556,Second Zulu Internecine War,8,,Cetewayo faction,1,1883,1884,1,1,4,
1557,Oman-Ibadi War,8,,Oman,1,1883,1884,2,1,6,1000
1558,Second Australian Aboriginal War,8,,Aborigines,1,1884,1894,2,7,9,10000
1559,Ethiopia-Mahdi War,8,,Ethiopia,1,1885,1889,1,2,4,30000
1560,German East Africa Company War,8,,German East Africa Company,1,1888,1889,2,1,4,
1561,Rabih Zubayr-Bornu War,8,,Rabah,1,1893,1893,1,1,4,4000
1567,First Nejd-Hejaz War,8,,Nejd,1,1919,1919,1,1,6,
1568,Second Nejd-Hejaz War,8,,Nejd,1,1924,1925,1,1,6,
1570,Partition Communal War,8,,Muslims,1,1946,1947,1,1,7,
1571,Hyderabad War,8,,Telenganans,1,1947,1948,1,4,7,4000
1572,Palestine War,8,,Arabs,1,1947,1948,2,4,6,1886
1573,Cheju Rebellion,8,,Communists,1,1948,1949,1,2,7,
1574,Rwandan Social Revolution,8,,Hutu,1,1959,1962,1,1,4,
1577,Dhofar Rebellion Phase 1,8,,Dhofar,1,1968,1971,1,6,6,5000
1581,Angola Guerilla War,8,,MPLA,1,1974,1975,1,4,4,
1582,East Timorese War Phase 1,8,,Fretilin,1,1975,1975,2,4,7,3000
1594,Hemda-Lendu War,9,,Hemda,1,1999,2005,2,6,4,
