WarNum,WarName,WarType,ccode,StateName,Side,StartMonth1,StartDay1,StartYear1,EndMonth1,EndDay1,EndYear1,StartMonth2
1,Franco-Spanish War,1,230,Spain,2,4,7,1823,11,13,1823,-8
1,Franco-Spanish War,1,220,France,1,4,7,1823,11,13,1823,-8
4,First Russo-Turkish,1,640,Ottoman Empire,2,4,26,1828,9,14,1829,-8
4,First Russo-Turkish,1,365,Russia,1,4,26,1828,9,14,1829,-8
7,Mexican-American,1,70,Mexico,2,4,25,1846,9,14,1847,-8
7,Mexican-American,1,2,United States of America,1,4,25,1846,9,14,1847,-8
10,Austro-Sardinian,1,337,Tuscany,2,3,29,1848,8,9,1848,-8
10,Austro-Sardinian,1,325,Italy,2,3,24,1848,8,9,1848,3
10,Austro-Sardinian,1,300,Austria,1,3,24,1848,8,9,1848,3
10,Austro-Sardinian,1,332,Modena,2,4,9,1848,8,9,1848,-8
13,First Schleswig-Holstein,1,255,Prussia,1,4,10,1848,8,26,1848,3
13,First Schleswig-Holstein,1,390,Denmark,2,4,10,1848,8,26,1848,3
16,Roman Republic,1,220,France,1,4,30,1849,7,2,1849,-8
16,Roman Republic,1,329,Two Sicilies,1,5,8,1849,7,2,1849,-8
16,Roman Republic,1,300,Austria,1,5,8,1849,7,2,1849,-8
16,Roman Republic,1,327,Papal States,2,4,30,1849,7,2,1849,-8
19,La Plata,1,160,Argentina,2,7,19,1851,2,3,1852,-8
19,La Plata,1,140,Brazil,1,7,19,1851,2,3,1852,-8
22,Crimean,1,640,Turkey,1,10,23,1853,3,1,1856,-8
22,Crimean,1,325,Italy,1,1,10,1855,3,1,1856,-8
22,Crimean,1,220,France,1,3,31,1854,3,1,1856,-8
22,Crimean,1,200,United Kingdom,1,3,31,1854,3,1,1856,-8
22,Crimean,1,365,Russia,2,10,23,1853,3,1,1856,-8
25,Anglo-Persian,1,200,United Kingdom,1,10,25,1856,4,5,1857,-8
25,Anglo-Persian,1,630,Iran,2,10,25,1856,4,5,1857,-8
28,Italian Unification,1,325,Sardinia/Piedmont,1,4,29,1859,7,12,1859,-8
28,Italian Unification,1,300,Austria,2,4,29,1859,7,12,1859,-8
28,Italian Unification,1,220,France,1,5,3,1859,7,12,1859,-8
31,First Spanish-Moroccan,1,600,Morocco,2,10,22,1859,3,25,1860,-8
31,First Spanish-Moroccan,1,230,Spain,1,10,22,1859,3,25,1860,-8
34,Italian-Roman,1,325,Sardinia/Piedmont,1,9,11,1860,9,29,1860,-8
34,Italian-Roman,1,327,Papal States,2,9,11,1860,9,29,1860,-8
37,Neapolitan,1,329,Two Sicilies,2,10,15,1860,2,13,1861,-8
37,Neapolitan,1,325,Sardinia/Piedmont,1,10,15,1860,2,13,1861,-8
40,Franco-Mexican,1,70,Mexico,1,4,16,1862,2,5,1867,-8
40,Franco-Mexican,1,220,France,2,4,16,1862,2,5,1867,-8
43,Ecuadorian-Colombian,1,100,Colombia,1,11,22,1863,12,6,1863,-8
43,Ecuadorian-Colombian,1,130,Ecuador,2,11,22,1863,12,6,1863,-8
46,Second Schleswig-Holstein,1,255,Germany,1,2,1,1864,4,25,1864,6
46,Second Schleswig-Holstein,1,390,Denmark,2,2,1,1864,4,25,1864,6
46,Second Schleswig-Holstein,1,300,Austria,1,2,1,1864,4,25,1864,6
49,Lopez,1,160,Argentina,1,3,5,1865,3,1,1870,-8
49,Lopez,1,150,Paraguay,2,11,12,1864,3,1,1870,-8
49,Lopez,1,140,Brazil,1,11,12,1864,3,1,1870,-8
52,Naval War,1,155,Chile,1,9,25,1865,5,9,1866,-8
52,Naval War,1,135,Peru,1,1,14,1866,5,9,1866,-8
52,Naval War,1,230,Spain,2,9,25,1865,5,9,1866,-8
55,Seven Weeks,1,325,Italy,1,6,20,1866,7,26,1866,-8
55,Seven Weeks,1,275,Hesse Grand Ducal,2,6,15,1866,7,26,1866,-8
55,Seven Weeks,1,271,Wuerttemburg,2,6,15,1866,7,26,1866,-8
55,Seven Weeks,1,245,Bavaria,2,6,15,1866,7,26,1866,-8
55,Seven Weeks,1,300,Austria,2,6,15,1866,7,26,1866,-8
55,Seven Weeks,1,255,Germany,1,6,15,1866,7,26,1866,-8
55,Seven Weeks,1,280,Mecklenburg Schwerin,1,6,15,1866,7,26,1866,-8
55,Seven Weeks,1,273,Hesse Electoral,2,6,15,1866,7,26,1866,-8
55,Seven Weeks,1,269,Saxony,2,6,15,1866,7,26,1866,-8
55,Seven Weeks,1,267,Baden,2,6,15,1866,7,26,1866,-8
55,Seven Weeks,1,240,Hanover,2,6,15,1866,6,29,1866,-8
58,Franco-Prussian,1,271,Wuerttemburg,1,7,19,1870,11,25,1870,-8
58,Franco-Prussian,1,267,Baden,1,7,19,1870,11,22,1870,-8
58,Franco-Prussian,1,255,Germany,1,7,19,1870,2,26,1871,-8
58,Franco-Prussian,1,245,Bavaria,1,7,19,1870,11,15,1870,-8
58,Franco-Prussian,1,220,France,2,7,19,1870,2,26,1871,-8
60,First Central American,1,90,Guatemala,1,3,27,1876,4,25,1876,-8
60,First Central American,1,92,El Salvador,2,3,27,1876,4,25,1876,-8
