ArtistName,ArtistBornYear,ObjectId
Robert Cole,,81
M. Bosshard,,100
Sigurd Lewerentz,,148
Erich Mendelsohn,,165
Erich Mendelsohn,,167
Erich Mendelsohn,,170
Erich Mendelsohn,,172
Erich Mendelsohn,,174
Erich Mendelsohn,,176
Erich Mendelsohn,,178
Erich Mendelsohn,,180
Erich Mendelsohn,,182
Erich Mendelsohn,,184
Erich Mendelsohn,,186
Erich Mendelsohn,,188
Erich Mendelsohn,,190
Erich Mendelsohn,,192
Erich Mendelsohn,,194
Erich Mendelsohn,,195
Erich Mendelsohn,,197
Erich Mendelsohn,,198
Erich Mendelsohn,,199
Denise Scott Brown,,212
Denise Scott Brown,,213
Denise Scott Brown,,215
Morphosis,,299
Thom Mayne,,299
Andrew Zago,,299
Sigurd Lewerentz,,319
Mario Romano,,320
Mario Romano,,332
Mario Romano,,333
Mario Romano,,334
Gregory Baird,,471
Rogelio Jimenez,,471
Alison Sky,,523
Hugo Herdeg,,603
Herzog & de Meuron,,659
Pierre de Meuron,,659
Dominique Perrault Architecture,,670
Dominique Perrault,,670
Architect,,677
Joel Sanders,,677
Taniguchi & Associates,,681
Bernard Tschumi Architects,,684
Rafael Viñoly Architects,,687
Tod Williams Billie Tsien and Associates,,690
Alessandro Poli,,869
G. Geist,,939
J. Sawade,,939
Peter Lynch,,967
Pier Copat,,967
Bryan Bell,,967
Friederike Gross-Pietsche,,967
Thomas Gardner,,967
Mark Janson,,968
Joseph Fenton,,968
Suzanne Powadiuk,,968
James Rosen,,968
Thomas Kinslow,,997
Richard Meier & Associates,,1012
Architects,,1012
Robert Kahn Architects,,1014
New York,,1014
Nageli & Vallebuona Architekten,,1014
Berlin,,1014
Mrs. Truus Schröder-Schräder,,1015
Herzog & de Meuron,,1016
Pierre de Meuron,,1016
Timothy Wood,,1021
Peter Waldman,,1021
Peter Carl,,1021
Robert White,,1021
Christopher Chimera,,1021
Eisenman Architects,,1030
Richard Rosson,,1030
Mark Wamble,,1030
Gregory Merryweather,,1030
Nazli Gononsay,,1030
Herzog & de Meuron,,1033
Karl Blossfeldt,,1033
Architects,,1034
Richard Meier & Partners,,1038
Architects,,1038
The Group,,1051
Herzog & de Meuron,,1053
Pierre de Meuron,,1053
Architects,,1056
Peter Rice (Ove Arup and Partners),,1057
Nikken Sekkei Ltd.,,1057
Joel Sanders,,1058
Marc Tsurumaki,,1058
Ernest Guenzburger,,1058
Sean Keller,,1058
Dillon Kyle,,1058
Cary Siress,,1058
Kahn & Jacobs,,1072
Asymptote Architecture,,1074
Lise Anne Couture,,1074
Gustave Falconnier,,1099
Unknown Designer,,1100
Unknown Designer,,1101
G. Byrn Company,,1136
Copenhagen,,1136
Hans Gösta Thames,,1151
Jürgen Greubel,,1158
Charles H. McCrea,,1197
A. L. Pugh,,1198
S. J. Stein,,1198
company design,,1216
company design,,1217
company design,,1218
company design,,1219
company design,,1220
Nason & Moretti Studio,,1224
George Dodson,,1461
Akzo Nobel Geosynthetics Company,,1461
Asheville,,1461
NC,,1461
Tokyo,,1469
Unknown Designer,,1527
Chattanooga,,1543
TN,,1543
Chattanooga,,1552
TN,,1552
Chattanooga,,1561
TN,,1561
Chattanooga,,1571
TN,,1571
Chattanooga,,1582
TN,,1582
company design,,1642
Murano,,1713
Italy,,1713
Murano,,1776
Italy,,1776
New York,,1834
NY,,1834
Palme Berthold,,1840
Joaquin Pottery Co.,,1865
Stockton,,1865
CA,,1865
,,1872
Ambrogio Tresoldi,,1886
Unknown Designer,,1890
Inc.,,1896
Milton,,1896
WV,,1896
Shoe Form Co.,,1909
Inc.,,1909
Utility Box Div.,,1909
Auburn,,1909
NY,,1909
Inc.,,1910
Milton,,1910
WV,,1910
Shoe Form Co.,,1917
Inc.,,1917
Utility Box Div.,,1917
Auburn,,1917
NY,,1917
Jerome Olivet,,1922
Charles D. Briddell,,1929
Charles D. Briddell,,1935
P. E. Camerer,,1939
St. Paul,,1939
MN,,1939
Kayserzinn Workshop,,1948
Edward Condak,,1972
Golden,,1977
CO,,1977
Imperial Glass Corp.,,1982
Bellaire,,1982
OH,,1982
Golden,,1983
CO,,1983
Kensington,,1992
Inc.,,1992
New Kensington,,1992
PA,,1992
Corning Glass Works,,1993
Corning,,1993
NY,,1993
Osamu Mita,,1999
William J. Russell,,2000
Sakase Adtech Co.,,2030
Fukui,,2030
Japan,,2030
Urase Co.,,2044
Ltd.,,2044
Fukui,,2044
Japan,,2044
Harold Elberg,,2049
Harold Elberg,,2053
Harold Elberg,,2057
Silverman,,2059
Harold Elberg,,2060
Unknown Designer,,2065
Unknown Designer,,2068
Unknown Designer,,2070
Tiffany Studios,,2072
New York,,2072
NY,,2072
Unknown Designer,,2073
A. H. Staf,,2074
Unknown Designer,,2079
Harry Handler,,2083
Harvill Corp.,,2084
Los Angeles,,2084
CA,,2084
Unknown Designer,,2086
Jack Heaney,,2087
John R. Carroll,,2090
Unknown Designer,,2094
Unknown Designer,,2102
Albin J. Herek,,2110
Philip V. Leivo,,2110
G.M. Thurnauer Co.,,2113
Czechoslovakia,,2113
Albin J. Herek,,2114
Philip V. Leivo,,2114
Unknown Designer,,2118
Ltd.,,2124
London,,2124
Unknown Designer,,2129
Unknown Designer,,2131
Unknown Designer,,2132
Ltd.,,2135
Michael Rabinowitz,,2148
Unknown Designer,,2155
Lohmann GmbH and Co.,,2163
Neuwield,,2163
Germany,,2163
Nancy,,2170
France,,2170
Karlsson & Nilsson,,2177
Sweden,,2177
Vernon P. Steele,,2182
Les Broersma,,2195
N.V. Schlegel S.A.,,2196
Gistel,,2196
Belgium,,2196
Lalance & Grosjean Mfg. Co.,,2217
Woodhaven,,2217
NY,,2217
John R. Morgan,,2219
Tony Paul,,2221
Ed E. Langbein,,2230
Ed E. Langbein,,2237
Ed E. Langbein,,2241
Inc.,,2244
Tokyo,,2244
Tokyo,,2248
Nitto Seimo Co. Ltd.,,2248
company design,,2248
Reynolds G. Dennis,,2250
Unknown Designer,,2251
Inc.,,2252
Tokyo,,2252
Toyo Tire Cord Co. Ltd.,,2252
Unknown Designer,,2253
André Giraud & Brousseau,,2254
Limoges,,2254
France,,2254
Jonathan W. Strong,,2255
Metall-Arbeit Wiener Werkstätte,,2257
Unknown Designer,,2258
The Hallicrafters Company Design and Research Team,,2259
Yamazaki Vellodo Co. Ltd.,,2263
Unknown Designer,,2264
St. Louis,,2265
MO,,2265
unknown,,2271
Don Mortrude,,2272
Alsterfors,,2277
Sweden,,2277
New York,,2284
NY,,2284
Benedikt Rohner,,2287
Southbridge,,2291
MA,,2291
Rex A. Stevens,,2292
Inc.,,2295
Milton,,2295
WV,,2295
Rex A. Stevens,,2301
Almo,,2304
New York,,2304
Rex A. Stevens,,2305
Golden,,2312
CO,,2312
Swift & Anderson,,2313
Inc.,,2313
Boston,,2313
MA,,2313
,,2315
Golden,,2318
CO,,2318
Sylvania Electric Products,,2319
Inc.,,2319
New York,,2319
NY,,2319
Golden,,2323
CO,,2323
Inc.,,2327
Japan,,2327
Golden,,2329
CO,,2329
Golden,,2335
CO,,2335
Golden,,2341
CO,,2341
Golden,,2346
CO,,2346
Nancy,,2358
France,,2358
Cravell,,2361
Inc.,,2361
Long Island,,2361
NY,,2361
Nancy,,2363
France,,2363
Cravell,,2366
Inc.,,2366
Long Island,,2366
NY,,2366
Nancy,,2368
France,,2368
Chicago,,2371
IL,,2371
Nancy,,2373
France,,2373
Chicago,,2375
IL,,2375
Nancy,,2377
France,,2377
Chicago,,2379
IL,,2379
Nancy,,2381
France,,2381
Chicago,,2382
IL,,2382
Nancy,,2384
France,,2384
A.L. Hirsch & Co.,,2388
New York,,2388
NY,,2388
Viking Glass Co.,,2389
New Martinsville,,2389
WV,,2389
Henning Watterston,,2392
Henning Watterston,,2395
Kate Harris,,2396
Louisville Tackle Co.,,2411
Louisville,,2411
KY,,2411
Gerhard Behrend,,2412
Dorothy F. Markle,,2414
Harry C. Markle,,2414
Nybro,,2434
Sweden,,2434
Nybro,,2442
Sweden,,2442
The Yale & Towne Mfg. Co.,,2443
Stamford,,2443
CT,,2443
Nybro,,2447
Sweden,,2447
The Yale & Towne Mfg. Co.,,2448
Stamford,,2448
CT,,2448
Leslie Beaton,,2451
The Yale & Towne Mfg. Co.,,2452
Stamford,,2452
CT,,2452
Worcester,,2455
MA,,2455
Telex Electro Acoustic Division,,2456
The Yale & Towne Mfg. Co.,,2457
Stamford,,2457
CT,,2457
Aluminum Company of America,,2460
Pittsburgh,,2460
Pennsylvania,,2460
Aluminum Company of America,,2465
Pittsburgh,,2465
Pennsylvania,,2465
Chicago,,2467
IL,,2467
Bauhaus,,2468
Dessau,,2468
Chicago,,2470
IL,,2470
Bauhaus,,2471
Inc.,,2474
Chicago,,2475
IL,,2475
Bauhaus,,2476
Unknown Designer,,2480
Karhula-Iitala,,2481
company design,,2481
Warehouse Point Co.,,2485
Warehouse Point,,2485
CT,,2485
Hemco Plastics Div. of Bryant Electrical Co.,,2486
Bridgeport,,2486
CT,,2486
company design,,2487
Eliot Noyes and Associates,,2489
Don Mortrude,,2493
C. Hugo Pott,,2506
Solingen,,2506
Germany,,2506
Santa Clara,,2538
CA,,2538
New York,,2552
NY,,2552
Irving Harper,,2558
M. Schimmel,,2568
Billie Newmarch,,2575
Providence,,2587
RI,,2587
West Bend Aluminum Co.,,2588
Wisconsin,,2588
Unknown Designer,,2589
Unknown Designer,,2595
Unknown Designer,,2596
Michel Bufet,,2601
Unknown Designer,,2603
International Silver Co.,,2604
Meriden,,2604
CT,,2604
Hukin & Heath,,2609
Birmingham,,2609
England,,2609
Unknown Designer,,2611
Unknown Designer,,2618
Beatrice Albert,,2619
Anchor Tool Co.,,2626
USA,,2626
company design,,2633
Eugene Dietzgen Company,,2638
New York,,2638
NY,,2638
Victor Tool Co.,,2639
Unknown Designer,,2640
Romeo Maestri,,2642
Golden,,2648
CO,,2648
Golden,,2656
CO,,2656
Worcester,,2659
MA,,2659
Wecolite Co.,,2660
New York,,2660
NY,,2660
Eimer & Amend,,2666
New York,,2666
